stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,3992.37,67737.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390.58,0,0,0,0,0,0
  5-6,2889.74,35572.93,122.36,0,0,0,0,0,62.6,0,0,0,0,0,3908.52,0,861.08,557.55,0,0,0,0,0,0
  7-9,46.44,540.18,1419.9,0,0,59.41,0,0,290.79,0,0,0,0,0,3907.77,108.44,8031.83,9.4,82.94,0,63.98,0,0,0
 10-12,0,336.48,708.27,0,97.15,49.55,0,0,21.84,0,0,0,0,0,1139.08,37.53,1465.8,7.72,44.26,0,1074.93,12.06,0,0
 14-21,0,0,0,2.55,81.13,1.49,0,0,0,0,0,0,12.8,7.01,14.1,0.82,2.54,0,0,10.59,0,5.04,3.01,0
 24-34,0,0,0,0,9.01,0,2.07,0,0,5.07,0,0.66,4.04,1.35,12.2,0.62,0,0,0,0,0,6.81,2.72,3.42
 36-46,0,0,0,0,0.73,0,0,0,0,0,0,0,0.86,1.07,1.19,0,0,1.41,0,0,0,0,0.63,0
 48-58,0,0,0,0,0.69,2.59,0,0,0,0,0,0,1.7,0,7.86,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.81,1.26,0,1.25,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,4.21
 72-82,0,0,0,0,7.82,0,0,0.93,0,0,0,0,0.53,0,15.86,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,16.3,0,0,0,0,0,0,0,0.66,0,4.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,20.33,0.56,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,7.73,0,0,0,0,0,1.4,0,0.66,0,5.31,0,0,0,0,0,0,0,0,0
120,0,0,0,0,22.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31
