stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,788.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.58,0,0,0,0,0,0,0,0,0
  5-6,23.59,968.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,9.89,37.06,0,0,0,0,0,0,0,0,0
  7-9,0,6.38,5.17,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,263.69,10.43,0,0,48.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.47,0,0,0,18.15,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,236.47,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.82,30.69,0,0,0,0,3.64,2.47,4.67,0,2.01,5.66,0,1.06,0,0
 24-34,0,0,1.71,3.18,0,0,7.5,0,0,0,0,0,0,5.9,0,0,0,0.65,0,2.2,0,0,23.22,0,1.22,0,0,10.91,0,0,0,0,5.69,0,3.49,0,0
 36-46,0,0,0,0,47.07,0,10.51,0,0,0,0,0,0,95.53,0,0,0,0,0,5.74,0,0.6,24.62,0,0,1.41,0,21.97,0,0,0,0,3.53,0,2.2,0,0
 48-58,0,0,0,1.35,0.41,0,5.72,0,0,5.82,0,0,0.48,154.52,0.37,0,0,1.34,0,6.93,0,2.01,14.47,0,0,0,0,3.97,0,0,0,0,3.35,0,0.52,0,0
 60-70,0,0,0,5.24,0,0,25.37,0,0,1.65,0,0,0,216.87,0,0,0,0,0,7.09,0,2.21,14.16,0,0,0.77,0,8.46,0,0,0,0,2.84,0,2.64,0,0
 72-82,0,0,0,1.33,3.83,0,22.31,0,0,9.48,0,0,0,186.45,0,0,1.45,0,0,12.91,0,0,17.77,0,0,4.45,0,1.76,0,0,1.87,0,1.29,0.91,1.43,0,0
 84-94,0,0,0,2.78,0.57,0,24.16,0,0,2.91,0,0,0,226.23,0.69,0.62,0,0.59,0.95,25.14,0,0.77,2.52,0,0,8.36,0,5.12,0,0,2.13,0,2.13,0,0,0,0.69
 96-106,0,0,0,5.65,1.36,0,32.87,0,0,7.71,2.9,0,0.88,207.1,0,0,0,0,0,14.49,0,1.39,7.75,0,0,2.11,0,7.66,0,0,1.57,0,0,1.27,16.61,1.02,0
108-118,0,0,0,9.85,0,4.21,42.66,0.61,2.55,12.77,2.07,0,0,155.44,0.85,0,0,0,0.53,16.06,1.15,0,29.82,0,0,6.48,0,4.58,0,0,0.72,0,0,0,4.85,0,0
120,0,0,0,5.75,0,0,47.04,0,0,28.89,4.54,0,0,193.11,0,11.36,0,0,0,26.78,0,0,21.6,1.32,0,4.35,0,6.12,0,0,1.38,0,0,0,2.42,9.56,0
