stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.36,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,11.72,0,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.58,0,0,0,0,10.24,0,0,0,0
 24-34,0,0,0.93,3.03,0,1.11,0,0,2.6,0,0,0,0,0,0,0,0,0.74,0,0,0,35.85,147.62,0,0,3.77,0,8.86,0,0,0,1.98
 36-46,0,0,0,5.84,0,0.84,0,0,2.74,0,0.65,0,0,0,0.65,0,0,0,0,0,0,29.92,343.53,0,0,0,0,25,0,0,0,5.33
 48-58,0,0,0,2.93,0,11.46,0,0,3.43,0,0.5,0,0,0,0,0,0.41,3.88,0,0,0,34.22,377.71,0,0,7.16,0,9.97,0,0,0,0
 60-70,0,0,3.28,12.74,0,11.56,0,1.49,2.36,0,0,0,0,0,0,0,0,2.93,0,0,0,35.65,561.45,0,0,6.46,0,3.07,0,0,0,0
 72-82,0,0,2.94,155.68,0,25.27,3.41,0,5.02,0,0,0,0,1.57,0,0,0,9.25,5.11,0,0,62.83,1020.66,0.88,0,1.89,0,5.86,0,0.51,2.57,0
 84-94,0,0,0.9,189.89,0,21.35,0,0,2.72,0,0,0,0,0.81,0,0,0,9.74,0,0,1.11,71.4,1173.65,0,0,1.53,0,0,1.28,1.04,0,0
 96-106,0,0,5.5,226.67,0,18.96,0,0,12.19,0.71,0,2.14,3.17,0,0,0,0,14.83,0,5.97,0,63.15,1893.17,0,0,4.67,0,2.6,1.93,3.88,0,0
108-118,0,0,0.43,151.12,0.45,23.46,0,0.54,0.71,0,0,0,1.11,0,0,0.77,0,10.08,0,0,0,66.12,1457.85,0,0,3.53,0,0,3.75,0.69,0,0
120,0,0,0,111.11,5.3,13.58,0,0,0,0,0,5.2,2.21,0,0,0,0,37.05,0,0,0,124.03,2110.08,0,0,0,7.18,7.22,0,0,0,0
