stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,vasculature
  5-6,55.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.85,0,0,0,0,0,0,0,0,0,14.85,0,3.57,0,0,0,0
 10-12,0,0,5.35,0,0,0,0,4.77,0,0,0,0,43.02,0,8.67,0,5.84,0,0
 14-21,0,0,0,0,0,1.78,2.37,0,0,0,0,0,2.37,0,0,0.91,0,0.96,1.22
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,1.46,0.98
 36-46,0,3.8,0,0,0,0,0,0,0.81,0,0,0,3.38,0,0,0,0,2.02,1.61
 48-58,0,2.15,0,0,0,3.1,0,0,1.31,0,0.82,0.64,10.11,0.82,0,0,0,0.82,0
 60-70,0,0.91,0,2.04,0,2.45,1.34,0,2.92,0,3.58,0,56.47,0.85,0,0,0,2.29,0
 72-82,0,2.74,0,0,0,7.58,2.1,0,12.09,0.63,11.91,0,89.41,0,0,0,0,0,0
 84-94,0,2.36,0,0,0,6.75,2.3,0,11.96,0,20.51,0,85.71,0,0,1.4,0,2.02,0.6
 96-106,0,2.39,0,0,0.72,14.95,0,0,17.88,0,19.8,0,76.87,0,0,0,0,0,2.01
108-118,0,1.12,0,0.42,0.55,29.03,1.15,0,19.93,0,24.65,0,48.2,0,0,0,0,0,0.81
120,0,0,0,0,0,17.23,17.57,0,29.11,0,6.7,1.82,129.44,0,0,0,0,0,1.54
