stage,endocrine_pancreas,epidermis,eye,fin_epithelia,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,5.14,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0.88,0,0,0
 24-34,1.32,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,1,0,0,0,0
 36-46,0.61,0,0.71,0,0,0,0,0,0,2.64,0,0,0,0,0,3.05,7.17,0,0,0,0
 60-70,6.25,0,0,0,4.45,0,0.6,0,1.02,1.85,0,0,0.63,0.61,0,2.76,1.28,0,1.84,0,0
 72-82,0.96,5.09,1.81,0,3.1,0,0,0,8.88,4.59,0,0,5.6,2.39,0,1.46,6.26,0,18.2,0,0
 84-94,0,8.74,0,0,0.58,0,5.33,0,2.76,2.63,2.2,0,1.84,6.25,0,11.79,2.65,0,1.11,0,0
 96-106,37.51,17.78,18.05,1.61,19.51,9.48,10.76,0,14.15,12.6,2.79,0,13.27,11.47,0,217.88,7.55,0,46.3,0,6.35
108-118,0,12.13,3.05,0.5,26.42,0.82,13.66,1.75,15.08,12.91,0.84,3.45,35.48,16.24,5.64,152.11,8.35,0,29.11,3.74,1.9
120,8.81,12.77,0,0,17.06,0,17.43,0,5.75,112.99,1.56,0,25.48,19.96,1.16,143.68,11,0,54.84,0,5.18
