stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.03,367.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,483.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.77,0,0,0,0,26.7,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,98.74,3.34,0,0,44.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.48,0,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.96,0,0,0,11.19,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,14.95,1.81,10.76,0,0,0,0,0,0,0,0,0,0,0,7.85,3.9,0,6.33,89.87,0,0,0,0,0,9.61,0,6.09,10.35,0,0.98,0,2.29
 24-34,0,0,0.67,1.62,0,11.75,0,0,2.83,0,0,0,0,0,1.14,0,0,30.89,14.19,0,4.53,108.08,0,0.69,0,0,1.62,0,0,1.24,39.14,0,5.55,0,6.03
 36-46,0,0,0,3.59,0,10.98,0,0.64,0.69,0,0,0,0,0,1.95,0,0,0,7.16,0,6.03,81.1,0,0,0,0,0,0,0,0,8.5,0,3.87,0,0
 48-58,0,0,0,1.99,0,15.77,0,0,5.4,2.3,0,0,0,0,0,1.93,0,0,9.04,0,2.81,49.95,0,0,0.46,0,0,0,0,0,6.12,0,2.99,0,0
 60-70,0,0,0,0,0,17.25,0,0,4.37,2.49,0,0,0,0,0,0,0,0,9.2,0,2.98,38.43,0.83,0,0,0,0,0,0,0,3.09,0.57,0,0,0
 72-82,0,0,0.56,0,0,20.95,0,0,7.09,0.53,0,1.95,0,0,0,0,0,0,9.93,1.6,0.78,38.31,0,0,0.49,0,0.87,0,0.53,0,3.64,0,1.38,0,0
 84-94,0,0,0,0.89,0,3.45,0,0.94,5.16,0,0,0,0,0,0,0,0,0,6.81,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.85,0,2.65,0,0,2.21,0,0,0,0,1.06,0.95,0,2.67,0,10.5,0,2.01,8.13,0,1.62,0,0,1.95,0,0,0,0,0,0,0,0
108-118,0,0,0,0.6,0,2.24,0,0,2.88,0.68,0,0,0.42,0,0,0,1.46,0,14.84,0,2.45,14.73,0,0,0.6,0,0.87,0,0,0,0,0,0,0.73,0
120,0,0,0,1.24,1.38,3.44,1.23,0,2.33,0,0,0,0,0,0,0,0,0,9.29,0,0,37.44,0,0,0,0,2.54,0,0,0,0,0,0,0,0
