stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,7.14,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,1.27,0,0,0,0,0,5.57,4.97,0,2.57,7.38,3.71,0,0,0,0
 24-34,0,0,2.3,0,0,0,0.6,0,0,0,0,0,0,0,11.11,0,0,1.48,7.41,0,0,1.29,0,0,11.94,1.04,0,0,5.65,9.33,0,0,0,0
 36-46,0,0,9.13,0,0,0.68,0,0.73,0,0,0,0,0,0,47.26,0,0,17.05,31.07,0,0.73,0,0,0,9.85,0,0,0,0,14.64,0,0,0,0
 48-58,0,0,1.71,0,0,8.1,0,12.4,0,0,0,0,0,0,157.01,0,0.88,22.93,51.05,0.74,0,0.53,0,0,7.85,0,0,0,0,15.45,0,0,0,2.18
 60-70,0,0,3.65,0,0,25.85,0,18.1,5.55,0,0.93,0,0,1.2,397.61,0.73,12.89,34.75,65.77,0,0,1.31,0,0,16.08,0,0,0,0,20.29,0,0,2.35,17.64
 72-82,0,0,4.06,3.24,0,21.4,0,62.1,4.01,0.95,0,0,0,0,376.62,0,16.55,30.01,84.54,0,0,5.11,0,1.05,4.2,0,0,0,0,19.42,0,8.67,2.71,38.9
 84-94,5.55,0,5.26,0,0,13.52,0,17.31,0,0,0,0.7,0.58,0,263.92,0,18.72,10.95,32.08,0,0,2.22,0,4.76,5.36,0,0.67,0,0,11.68,0.71,26.58,6.11,50.68
 96-106,0,0,5.62,0,0,16.21,0,29.77,5.55,0,1.98,0,0,0,345.66,0,32.63,23.85,50.6,0.66,0,2.03,0,0.79,2.41,0,0,0,0,9.8,0,11.14,0.97,35.18
108-118,0,0,3.16,0,1.61,21.07,0,68.36,0,0,2.38,0.75,0.69,2.91,361.32,0,17.87,15.74,34.94,1.24,10.06,11.51,0,0,1.64,0,0,0,0,17.64,0,8.88,0,60.44
120,0,0,1.88,0,0,22.36,0,22.57,0,0,4.26,0,0,17.89,491.67,0,38.23,9.18,75.93,5.69,0,3.57,0,0,1.26,0,0,0,0,6.88,0,14.32,0,65.63
