stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.04,0,22.69,2.07,0,6.24,0,0,0,1.25,0,0,1.66,2.8,0,0,0,1.36,0,20.97,0,0,10.18,149.41,2.24,0,1.84,0,0,0,0.91,8.51,6.22,2.78,26.58,34.28,0,0,4.47,0,0
 24-34,0,3.32,1.59,19.09,0,0,143.72,0,0.6,1.76,22.43,0.61,0,9.39,12.29,0,1.61,4.78,4.72,0,148.88,0,1.63,71.66,1479.56,0,35.82,20.91,0,0,6.06,0,1.03,11.2,2.79,3.1,228.62,0,0,9.67,0,0
 36-46,0,0.73,0,5.68,0,0,440.11,3.36,0,2.55,141.55,0,0,10.08,10.75,0.66,0,5.85,0,3.59,251.1,0,0.67,77.89,3546.97,0.84,39.73,25.83,0,0,8.37,0.74,0,16.71,1.22,0,710.72,0,0,24.96,0,0
 48-58,0,0.46,0,27.49,0.74,0,986.62,0,11.2,6.66,239.94,0.5,0.75,12.11,10.49,0,0,3.57,0,0.38,310.09,0,3.18,33.34,3926.16,0.39,17.7,54.43,0,0,14.33,0,0,11.28,1.65,0,941.63,0,0.61,32.25,0,7.81
 60-70,0,1.4,0,17.89,0.6,0,1750.5,1.87,5.32,22.61,327.15,1.41,0,6.49,20.69,0.59,4.51,9.01,10.28,0.72,279.22,2.49,4.35,19.76,5411.49,0.71,19.28,47.89,0,4.46,9.38,0,0,13.33,1.38,0,1054.93,0,10.15,35.38,2.02,11.61
 72-82,0,5.25,0,55.61,3.24,0,1416.1,0,8.36,18.17,291.93,2.64,0,14.7,10.52,0.68,0.57,6.88,0,5.96,361.18,0,22.07,23.6,4384.87,7.34,18.7,72.88,0,7.27,4.53,0,0,14.72,0,0,725.07,3.78,11.39,53.76,4.34,10.27
 84-94,0,0,0.78,47.54,10.92,0,1195.19,7.69,1.96,18.72,227.75,10.58,0,4.69,22.45,3.91,8.24,7.23,2.63,1.76,236.71,0.76,14.17,17.79,2832.25,5.88,14.31,71.99,0,2.93,4.84,0,0,38.02,7.97,0,545.39,1.97,11.68,66.43,14.44,13.82
 96-106,2.68,4.41,0,37.29,30.68,9.83,702.31,1.39,5.41,8.3,228.38,10.5,0,6.64,17.62,2.07,0.77,7.38,16.31,2.25,261.56,0,2.02,19.82,2160.82,0,7.9,91.77,1.2,15.32,7.69,4.15,0,19.34,0,0,178.69,8.63,6.6,80.14,2.91,0
108-118,0,0.43,2.32,51.82,13.54,0,889.5,4.37,6.78,16.31,253.25,16.73,0,8.44,21.25,2.61,3.55,15.46,1.38,3.44,291.14,0,9.42,19.56,2871.87,1.53,16.05,81.67,0,2.9,9.3,0,0,27.82,0,0,158,2.65,3.83,72.91,3.12,0
120,0,2.94,0,57.79,10.73,0,909.83,9.84,10.29,25.5,552.38,20.04,0,11.1,29.14,1.05,0,37.67,1.05,21.88,352.21,1.65,15.63,20.61,5510.45,3.33,38.9,135.83,0,15.91,12.25,0,0,41.02,0,0,177.37,3.31,16.66,159.56,23.11,6.17
