stage,endocrine_pancreas,fin_epithelia,liver,mesenchyme,muscle,neural,somites
 14-21,0,0,0,0,0,0,1.19
 24-34,0,0,0,0,0.63,0,0
 36-46,0,2.76,0,0,0,0,0
 60-70,1.29,0,0,0,0,0,0
 72-82,0,0,0,0.65,0,0,0
 84-94,0,0,0,4.29,0,3.59,0
 96-106,0,0,0,4.15,0,0,0
108-118,0,0,1.34,1.06,0,0,0
120,0,0,0,3.23,0,0,0
