stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,15.22,122.33,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,0,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.65,0,0,0,4.55,0,0,0,0,0,0,78.98,4.82,0,16.06,0,0,0,0,0
 10-12,0,0,7.5,0,0,0,0,7.03,0,0,0,45.12,0,0,7.88,0,0,0,0,0
 14-21,0,0,0,7.64,2.41,0,0,0,0,1.19,0.89,2.54,0,0,0,0,2.08,4.75,1.96,0
 24-34,0,0,0,0.85,0,0,0,0,0,1.34,0,10.87,0,0,0,0,0,1.86,3.58,1.77
 36-46,0,0,0,1.24,0.87,4.22,0,0,0,1.81,0,6.3,0,0,0,0,0,0,0.74,0
 48-58,0,0,0,1.87,4.26,1.73,0,0,2.18,1.07,0.63,8.61,0,1.67,0,0,0,0,1.88,0
 60-70,0,0,0,8.05,2.99,0.57,0,0,0,0.87,0.59,10.71,0,0,0,0,0,0,0.96,0
 72-82,0,0,0,0,2.56,1.25,0,0,0,1.6,0.49,14.75,0,0,0,1.31,0,0,0,0
 84-94,0,0,0,0,2.76,0,0,0,0,1.04,0,0,0,0,0,0.57,0,0,0,0
 96-106,0,0,0,0,1.25,0,2.64,0,0,0,0,1.38,0,0,0,0.99,0,0,1.3,0
108-118,0,0,0,0.49,1.68,0.43,0,0,0.59,2.63,0.79,4.38,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0
