stage,endoderm,eye,glial,iridophores,mesenchyme,neural,notochord,otic,somites,spinal.cord
  7-9,0,0,0,0,0,6.66,0,0,0,0
 10-12,10.39,0,0,0,0,0,18.65,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.32,0
 24-34,0,0,0,0,0,1.69,0,0,0,0.76
 36-46,0,0,0,0.56,0,0,0,0,0,0
 48-58,0,0,0.4,0,0.73,0,0,0,0,3.62
 60-70,0,0,1.13,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.78,0,3.43,0,0
 96-106,0,0.67,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.84,0,0,0,0,0
120,0,0,6.35,0,0,0,0,0,0,0
