stage,blastomeres,endoderm,eye,glial,neural,paraxial.mesoderm,periderm
  3-4,19.75,0,0,0,0,0,0
  5-6,14.22,0,0,0,0,0,0
  7-9,0,6.2,5.62,0,11.83,9.04,0
 10-12,0,0,10.07,0,19.78,8.74,0
 24-34,0,0,0,0,1.48,0,0
 36-46,0,0,0,0,9.46,0,0
 48-58,0,0,0,0,0.67,0,0
 72-82,0,0,0,1.21,0.91,0,0
120,0,0,0,0,0,0,1.6
