stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste
  3-4,0,110.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0
  5-6,10.06,65.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,3.28,0,0,0
 10-12,0,0,0,0,3.93,0,0,0,0,0,0,0,11.65,0,0,0,16.68,0,0,0,0
 14-21,0,0,0,0.81,0.96,0,0,0,0,1.09,0,0,3.73,0,0,1.02,0,1.35,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0,5.82,0
 36-46,0,0,13.57,0,4.3,0,0,0,1.77,0,0,0,10.11,0,0,0,0,0,0.81,7.94,0
 48-58,0,0,0,0,10.07,0,4.03,0,0,0,0,0,18.94,0,0,0,0,0,0,8.45,0
 60-70,0,0,0,0,5.24,0,7.93,0,0,0,0,0,11.61,0,0,0,0,0,0,9.66,0
 72-82,0,0,0,0,13.26,0,1.36,0,0,0,0,0.88,18.47,0.88,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.25,1.27,0,0.7,0,1.87,0,0,19.02,0,0.76,0,0,0,0,0,0
 96-106,0,0,0,0,5.35,0,0,0,0,1.9,0.76,0,4.27,0,0,0,0,1.95,0,0,0.81
108-118,0,0,0,0,3.94,0,1.04,0,0,1.79,0,0,4.05,0,0.54,0.87,0,0.68,0,0,0
120,0,0,0,0,8.33,0,0,0,0,12.41,0,0,1.96,0,1.48,0,0,0,0,0,0
