stage,blastomeres,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,31.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.59,0,0,5.88,0,0,0,8.3,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.99,4.54,0,7.91,0,0,0,0,0
 14-21,0,0,0,0,0,5.5,0,17.22,0,0,0,0,5.55,3.96,3.85,0
 24-34,0,0.61,3.25,0,0,4.93,0.85,7.94,0,0,0,1,0,0.66,6.46,0
 36-46,0,0,0,0,0,11.13,0.61,4.82,0,0,0,0,0,0,1.32,0
 48-58,0,0,0,0,0,1.14,0,2.73,0,0,0,0,0,0,1.35,0
 60-70,0,0,1.26,0,0,2.11,1.61,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.67,1.41,0,0,0,0,0,0,0,0,0,1.53
 84-94,0,1.19,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
 96-106,0,0,1.33,0,0,6.6,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.51,0,0,0,0.89,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0
