stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.93,0,0,0,0,0,10.23,0,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,47.13,0,0,0,17.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.53,0,0,0,5.32,0,0,9.99,14.19,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,31.79,2.88,0,0,0,0.82,0,0,0,0,0,0,7.25,0,0,0,0.86,0,0,0,0.93,0,0,0,0,0,46.93,0,2.74,0,1.02,0,0,6.67,0,0
 24-34,0,0,0,0,8.95,0.61,0,2.83,0,20.35,0,0,0,0,19.4,0,1.59,0,0,3.43,1.07,0,0,0.61,17.28,45.73,0,0,0,0,52.32,0,4.13,0,3.22,0,0,24.59,0,0
 36-46,0,0,0,0,50.67,0,0,2.27,0,32.67,0,4.66,0.72,3.2,9.34,0,0.82,0,0,0,8.77,0,0,9.02,17.64,89.51,0,0,0,0,90.81,0,0.7,0.7,0.79,0,0,13.27,0,0
 48-58,0.77,0,0,0,44.22,0,0,13.75,0,24.5,0,0.5,0,0.41,8.89,0,0,0,0,0,20.46,0,0,4.45,35.45,73.8,0,8,0,0,61.86,0,0,0,2,0,0.37,17.34,0,0
 60-70,0,0,0,0,66.5,0.7,0,31.2,0,29.22,3.95,1.11,1.05,1.85,10.25,0,2.05,4.2,1.5,0,45.27,0,10.09,2.43,31.4,48.23,0,3.97,0,3.93,103.23,0,0,0,4.95,0.92,0.9,43.26,0,0
 72-82,0,0,0,0,63.45,0.96,0,27.12,0,23.87,0,11.36,5.08,0,23.06,0,1.6,0,0,6.2,114.67,0,18.79,8.4,35.45,41.29,0,2.71,0,3.88,97.94,0,2.92,3.02,10.28,0,8.76,54.52,0,6.82
 84-94,0,0,0,0,136.05,0.82,0,30.17,0,60.58,0,3.32,15.99,4.04,13.94,1.41,1.87,0,0,7.48,99.48,1.99,41.14,8.37,37.4,60,0.66,8.04,0,4.76,431.79,0,1.98,0.61,0,16.19,22.11,47.78,2.06,0
 96-106,0,0,1.14,0,177.27,0,1.12,28.04,8.17,63.11,0,4.27,32.18,0,19.51,2.78,2.49,0,0,1.56,148.16,4.57,41.91,6.49,61.54,23.52,0,5.17,0,10.01,410.57,0,3.01,0,8.55,16.35,12.98,46.6,5.5,0
108-118,0.67,0,0,0,318.19,1.64,5.87,25.92,6.74,75.71,5.61,10.41,25.06,0,28.35,2.82,4.81,2.72,1.33,7.57,152.63,2.14,23.01,10.41,47.77,26.67,0,5.63,0,7.59,366.39,0,2.07,0,0,24,29.7,49.24,0.55,0
120,0,0,0,0,396.5,0,0,41.96,3.45,71.05,8.73,29.26,36.04,0,16.15,10.13,0,0,5.94,3.75,208.8,1.12,39.13,1.15,126.12,41.52,0,8.21,0,3.68,206.92,0,0,0,2.39,7.48,60.15,57.04,6.74,0
