stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0
 14-21,1.5,0.84,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.85,0,0.73,0,0,0,0,0,6.64
 36-46,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0
 48-58,0.94,0,0,0.42,0,0,0,0,1.24,0,4.92,0,0,0,0.91,0,0
 60-70,0.97,0,0,2.85,0,0,0,0,2.8,0,4.22,0,0.59,0,0,0,0
 72-82,1.57,4.38,0,3.64,0,0,0.73,0,1.89,1.95,15.63,0,0,0,0,0,3.84
 84-94,0,15.55,2.25,6.13,0,0.68,0.69,0,2.6,0,6.22,0,0.75,0,0,0,0
 96-106,3.21,36.31,0,5.6,1,0,0,0.63,1.14,0,15.87,0.8,2.11,0,0,3.04,0
108-118,3.24,22.13,0,0,0,0,0,0,1.19,0,9.25,0,0,0,0,0,0
120,1.23,20.58,0,2.23,0,6.42,0,0,2.22,3,23.28,0,0,0,0,0,0
