stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,spinal.cord
  3-4,69.74,0,0,0,0,0,0
  5-6,7.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,6.47
 24-34,0,0,0,0,0,2.39,0
 36-46,0,0,2.18,0,0,0,1.22
 48-58,0,0,0,0,0,3.6,0
 60-70,0,0,0,0,0,5.68,0
 72-82,0,0.79,0,0.66,0.62,1.98,0
 84-94,0,0,0,0,1.64,0,0
 96-106,0,0,0,0,0,11.54,0
108-118,0,0,0,0,6.34,0,0
120,0,0,0,0,2.9,4.32,0
