stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.15,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,2.14,28.25,1.39,0,0,0,0,35.29,1.45,12.82,0,0,0,0,0
 24-34,1.1,2.54,0,0,4.49,0.62,0,0.93,0,0.66,0,0,0,0,0.77,0,0,9.58,0,1.59,203.44,0,8.73,0,0,0.69,67.95,0,50.22,0,0,0,0,0.91
 36-46,0,13.85,0,0,20.23,0,1.45,2.38,0,0,0,0,0,0,0,0,0,19.19,0,2.32,424.19,0,3.3,0.76,0,0,33.09,0,71.11,0,0,0,0,4.22
 48-58,0,3.31,0,0,42.7,0,3.01,9.62,0,0,0.41,0.56,0,1.35,0,0,5.75,27.49,0,2.1,850.19,0,0.37,0,0,13.92,32.53,0,76.83,0,0,1.27,0,0
 60-70,0,5.63,0,0,88.8,0,9.71,24.06,0.84,0,0,0,0,0,0,0,0,33.42,0,2.53,1330.77,0,0,0,0,8.15,24.93,0,58.41,0,0,0,0,16.32
 72-82,0.69,8.59,0,0,145.35,0,6.7,36.91,2.61,0,0,0,0,3.21,2.6,0,0,43.86,1.13,0.62,1411.32,0,2.53,0,1.54,5.8,9.95,0,73.97,0.88,3.24,2.47,5.77,0
 84-94,0,9.32,0,2.83,101.42,0,4.68,22.88,0,0,0.97,0,4.73,0.65,3.08,0,0,46.68,5.61,6,913.63,0,0.7,1.18,0,14.34,15.82,0,39.46,0,0,3.75,0,0
 96-106,1.56,2.91,4.87,0,96.42,0,3.66,28.41,3.06,0,0,0,2.4,0,0,0.77,0.71,34.35,0.78,3.23,842.9,0,6.65,0,3.21,19.64,11.08,0,45.81,4.17,3.25,0,1.44,0
108-118,0,9.73,0,1.93,82.6,0,1.84,27.7,1.22,0,0,0,0,2.36,0.45,0,0,37.28,0,0,988.28,0,8.37,1.28,0,7.39,8.88,0,25.57,6.25,2.13,0,0.65,0
120,0,21.98,0,0,226.93,5.35,12.97,38.77,1.79,0,0,0,0,0,0,0,0,44.62,0,3.62,1653.65,0,10.14,18.86,0,8.47,3.77,0,91.33,0,0,1.59,20.78,0
