stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,617.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0
  5-6,69.87,605.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,6.56,9.69,0,0,0,0,0,0,0
  7-9,10.38,0,0,13.58,0,0,0,18.94,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,202.2,10.79,0,0,83.55,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.35,0,9.65,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,129.4,0,0,0,18.56,0,3.24,0,0,0,0,0,0
 14-21,0,0,1.23,0,7.4,0,0,7.02,0,0,77.57,0,0,0,0,0,0,0.92,0,0,1.64,0,0,0,1222.48,10.26,3.09,39.43,0.86,2.67,1.11,811.21,0,0,0,0,0
 24-34,0,0,0,0.65,16.58,0.67,0,30.5,0,1.58,120.11,0,0,0,2.43,0,0.92,5.87,0,1.54,11.53,0,0,1.8,3890.1,1.62,45.57,115.3,0,28.97,0.95,1626.8,0,0,0,0,0
 36-46,0,0,0,0,2.38,0,0,141.22,0,0.73,103.29,0,0,0,0,0,0,3.26,0,5.51,14,0,0,2.3,2675.29,0,66.07,71.85,0,29.52,0,1126.95,0,0,0,0,9.3
 48-58,0,0,0,0,17.06,0,0,430.17,2.94,1.85,148.4,0,0,0,1.21,0,0,10.39,0,9.74,18.13,0,0,9.84,1642.33,7.09,30.25,52.73,0,7.82,0,655.88,0,0,0,0,0
 60-70,0,0,0.89,2.04,13.21,0,0,716.55,7.04,0,259.99,0,0,0,0,0,4.86,11.09,1.2,0,11.56,0,0.66,1.59,1957.76,6.52,21.02,53.35,0,3.85,0,308.84,0,2.97,1.05,0,0
 72-82,0,0,0,1.49,5.55,0,0,635.95,1.35,1.32,278.62,1.4,0,0,3.84,0,0.57,12.25,0,0,50.34,0,0,1.13,1905.23,0,60.44,42.24,0,8.84,0,218.73,3.87,0.63,2.63,0,0
 84-94,0,0,0,1,5.7,8.84,0,607.22,0,0,271.86,2.91,0,2.41,2.48,1.59,3.01,17.84,0,5.72,30.88,0,2.2,4.84,1494.05,0,60.56,56.54,0,8.55,0,176.03,4.41,0,0.57,0,0
 96-106,0,0,1.19,0.65,18.39,10.63,0,602.96,0,0,274.3,0,0,1.9,1.66,2.36,1.9,17.27,0,7.05,21.75,0.68,0,1.33,1248.92,0,62.06,45.95,1.2,9.93,0,99.13,0,0,2.41,4.1,0
108-118,0,0,0,3.92,27.48,4.46,3.05,783.71,0,0.5,388.99,2.6,0,0,0.79,3.48,7.17,19.48,0,1.39,55.49,1.14,1.74,0,1500.44,0.43,48.88,69.46,0,11.24,0,63.41,0,0,2.19,1.03,1.84
120,0,0,1.43,2.55,17.43,9.62,0,925.9,10.7,0,574.29,1.33,0,0,7.75,1.05,10.64,19.07,0,0,57.24,0,8.88,3.67,2304.04,0,57.84,106.1,0,19.28,0,101.6,0,0,1.72,0,0
