stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,128.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,240.64,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,19.22,0,0,0,0,0,0,0,0
  7-9,4.72,3.67,0,0,32.28,0,0,0,0,0,0,0,150.92,7.78,0,0,61.96,0,0,0,0,0,0,0,0,0
 10-12,0,12.46,0,0,0,0,0,0,0,0,0,0,45.67,0,0,0,17.78,0,0,16.42,0,0,0,0,0,0
 14-21,0,0,2.7,0,3.92,0,1.08,0,0,0,0,0,13.8,0,0,0,1.46,0,4.46,0,1.78,2.18,9.56,0,0,0
 24-34,0,0,1.35,0,2.75,0.65,0,0,0,1.71,0,1.81,17.8,0,0.75,0,0,0,0,0,0,0,6.38,0,0,0
 36-46,0,0,0,0,0.88,0,0,0,0.6,6,0,0.76,17,0,1.09,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0.43,0,6.09,1.11,0,0.43,0,4.63,0,0,13.52,0,0,0,0,0,0,0,0,0,3.11,0,0,0
 60-70,0,0,1.32,0,4.85,1.72,0,0,0,1.56,1.73,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.06,5.63,0,0,0,0.49,0,0,5.78,0,0,0,0,0,0,0,2.68,0,2.26,1.32,0,9.05
 84-94,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.93,0,0,0,0,2.95,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,2.98,0
108-118,0,0,0.63,1.05,0,0,0,0,0.43,3.42,0,4.5,12.52,0,0,1.26,0,0,0,0,0,0,0,0,1.06,0
120,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
