stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.35,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,20.72,0,0,0,0,0,0,0,0,39.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.6,0,33.6,0,0,0,0,0,0,0,0,223.94,0,0,202.02,0,8.5,0,0,22.37,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.88,0,8.32,39.08,0,0,0,0,0,12.47,1.08,21.04,5.72,0,0,0
 24-34,0,0,0,0,1.36,3.61,1.15,0,0.77,0,0,2.45,0,0,110.99,1.24,0,0,0,0,0,0,1.36,15.35,0,0,0
 36-46,0,0,0,0,4.15,5.73,0,2.55,0,0,0,1.58,1.32,0,168.73,1.21,0,0,0,0,0,0,0,34.66,0,1.81,0
 48-58,0,0,0.54,0,10.36,26.67,0,7.08,0,0,0,4.25,0.46,0,175.58,0,2.32,0,0,0,0,0,0,16.65,0,1.98,0
 60-70,0,0,0,0,0,145.54,0.75,4.15,0,0,0,2.27,12.05,0,307.9,0,0,0,2.78,0,0,0,0,32.44,0,0,0
 72-82,0,0,0,0,0,173.46,0,1.14,0,0,0,7.07,1.93,0,264.36,0,0,0,0,0,0,0,0,42.63,3.58,0,2.41
 84-94,0,0,0,0,2.07,86.89,0.93,3.65,0,0,0,3.89,4.83,0,156.95,0,0,0,2.23,0,0,0,0,9.56,0,0,3.57
 96-106,0,0,0,0,0,75.36,0,8.28,0,0,0.75,2.5,1.25,0,104.85,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.37,72.4,0,10.98,0,0,0,4.6,5.36,0,165.73,0,0,0,0.87,0,0,0,0,3.29,1.63,1.31,2.45
120,0,0,0,0,0,72.67,0,4.72,1.28,8.64,0,9.15,18.11,0,205.83,0,0,0,0,0,0,0,0,19.86,0,0,0
