stage,endoderm,eye,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  7-9,4.02,0,0,0,0,9.59,0,0,0,0
 10-12,0,0,0,0,0,14.41,0,7.07,0,0
 14-21,0.86,0,0,2.9,0.89,0,1.02,0,14.35,0
 24-34,0.59,0,0,0.87,0,0,0,0,1.07,0
 72-82,0,4.63,2.58,0,0,0,0,0,0,3.17
