stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,taste,vasculature,visceral.smooth.muscle
  3-4,21.39,467.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.77,0,0,0,0,0,0
  5-6,49.19,393.68,0,0,0,0,0,15.17,0,0,0,0,0,0,0,8.85,0,0,6.91,7.14,0,0,0,0,0,0
  7-9,0,0,4.34,0,0,32.42,0,0,0,0,0,0,0,0,0,88.63,6.48,0,56.44,0,0,0,0,0,0,0
 10-12,0,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,39.73,0,0,37.51,0,0,0,0,0,0,0
 14-21,0,0,0,2.21,3.7,0.92,0,0,0,0,0,0,0,0,8.51,8.9,0,0,0,1.15,1.26,1.72,10.75,0,0.92,0
 24-34,0,0,0,0,0.6,0,0,0,0,0,0.68,0,5.72,0,0,3.62,0,0,0,0.93,0,0,0,0,13.51,0
 36-46,0,0,0,0,0,0,0,0,0,0.61,0,0,3.31,0,0.75,3.18,0,0.59,0,0,0,0,0,0,5.9,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.08,0.64,0,0,1.24,0,0,0,0,0,0,0,0,3,0
 60-70,0,0,0,0,1.91,0.72,0,0,0,0,0,0,2.09,0.63,0,11.13,0,0,0,0,0,0,0,0,0.71,0
 72-82,0,0,0,0.54,0.68,0,0,0,1.84,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,7.87,1.51
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,5.69,0
 96-106,0,0,0,0.6,0,0,0,0,3.88,0,0,0,2.39,0,0,6.3,0,0,0,0,0.85,0,0,0,1.58,0
108-118,0,0,0,0,0.47,0,1.04,0,2.94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.1,7.35,1.79
120,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,11.15,0,1.29,0,5.54,0,0,0,0,17,0
