stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,45.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.15,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.38,0,0,0,0,0,0,45.67,8.94,0,0,19.95,0,0,0,0,0,0,0,0,0
 10-12,0,4.18,0,0,0,0,0,0,0,0,0,40.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,2.93,0,5.86,0,0,0,0,0,0,0.87,1.08,1.79,0,0,0,0
 24-34,0,0,0,1.49,3.55,0,0,0,0,2.43,1.71,8.81,0,0,0.84,0,0,0.83,0,0,3.05,0,2.14,0,0
 36-46,0,0,0,0,3.72,0,0,0,0.66,0,0.61,2.64,0,0,0.67,0,0,21.33,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,8.95,0,0,0.54,0,0,0,0
 60-70,0,0,0,0,3.25,0,0,0,0,7.54,1.05,2.89,0,1.69,0,0,0,0,0,0,0,0,0,0,1.56
 72-82,0,0,0.93,0,4.8,0,4.88,0,0,2.2,0,4.31,0,2.07,0,0,0,0,0,0,0,0,0.81,0.71,0
 84-94,0,0,0,0,0,0,3.65,0,0,2.92,0,3.75,0,0,2.48,0,0,0.58,0,0,0,0,0,0,0
 96-106,0,0,0,3.43,0,0.68,3,0,0,3.5,0,0,0,0,0,0,0,0.8,0,0,0,0.87,0,0,0
108-118,0,0,0,0,0,0.48,0,1.26,0,1.13,0,0,0,0,0.6,0,0.95,1.12,0,0,3.85,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0
