stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,27.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,29.74,2.63,0,0,0
 48-58,0,0,0,0,0,0.81,0,5.49,0,0,2.16,0,0,6.92,0,2.02,0,0,0.51,0,0,38.28,1.75,0,0,0
 60-70,0,0,1.79,0,0,0,0,0,0,0,22.38,0,0,0.61,0,1.19,0,0,0,0,0,6.42,1.51,0,0,6.55
 72-82,0,0,0,0,0.76,1.26,0,0,1.21,0,7.65,0,0,0.96,1.29,8.22,0,0,0,0,0,8.62,3.58,0,0,0
 84-94,0,0,0,0,0,3.09,0,0,1.73,3.75,5.36,0,0,0,0,8.22,0.99,0,0,0,0,32.39,0,0,0,0
 96-106,0,0,0.83,0,3.58,10.33,0.65,0,11.76,0.96,8.14,0,0,2.2,0,17.55,0,0,6.13,1.35,0,56.42,0,1.68,2.97,0
108-118,0,0,0,0,1.66,18.52,1.27,0.58,2.76,16.79,6.61,1.33,1.18,3.96,0,13.57,0,0,1.15,0,0,78.47,0,0,0,4.66
120,0,0,0,0,0,0,0,0,2.77,1.52,12.83,11.19,0,0,18.62,13.5,0,0,0,0,10.07,26.06,0,0,0,0
