stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,12.81,211.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,21.74,0,0,15.89,0,0,0,0
 10-12,0,10.26,0,19.72,0,0,0,0,0,0,0,0,0,0,37.14,0,9.85,16.15,0,0,0,0
 14-21,0,0,0,0,2.24,2.91,0,0,0,0,2,0,0,0,3.9,0,0,17.67,0.91,2.65,0,0
 24-34,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,12.94,1.94,0,4.63,0,2.89,0,3.46
 36-46,0,0,0,0,2.67,0,8.6,0,1.34,0,1.13,0,0,0.98,22.76,0,0,0.57,0,0,0,2.94
 48-58,0,0,0,0,5.29,0,13.77,11.63,0,0,3.16,0,0,0.91,46.6,0,0,6.1,0,1.05,0,0
 60-70,0,0,0,0,0,0,19.03,0,0,0,9.74,0,5.29,0,39.49,0,0,4.72,0,10.2,0,0
 72-82,0,0,0,0,0.97,0,36.8,0.96,0,0,0.6,0,0,0,28.12,0,0,0,0,3.96,0,0
 84-94,0,0,3.73,0,0.68,0,17.25,0,0,0,2.1,0,0,0,26.53,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,9.08,0,0,0,0,0.7,0,0,4.33,0,0,0,0,4.11,0,0
108-118,0,0,0.91,0,0.76,0,20.6,2.69,0,1.35,0,0,0,0,21.85,0,0,1.41,0,0,0.99,1.36
120,0,0,0,0,0,0,23.12,0,0,0,0,0,0,0,67.9,0,0,1.88,0,8.98,0,0
