stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,190.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.61,149.15,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.96,4.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0.84,0,0,0.85,0,0,0,2.02,0,0,0,0,0,0,1.69,0,0,0,72.91,1.18,1.09,0,0,0,0,0,0.83,25.94,0,0,0,0
 24-34,0,0,0,0,4.85,0,0,7.69,0,0,0.7,0,0,0,0,0,0.9,0,5.18,0,0,7.21,539.78,0,0.69,1.6,0,6.7,0,0,0,99.39,0,13.13,0,1.68
 36-46,0,0,0,0,3.22,0,0,14.06,0,0,11.61,0,0,0,0,0,0,0,14.99,0,0,3.2,622.35,0,0.68,2.03,0.97,5.86,0,0.67,0,70.11,0,4.34,0,0
 48-58,0,0,0,0,4.38,0,0,42.91,0.81,0,24.02,0,0,3.62,0,1.42,0,6.21,17.03,0,0,2.99,690.5,6.35,0.7,3.5,0,3.39,0.65,0,0,97.3,0,7.38,0,0
 60-70,0,0,1.79,0,3.81,0,0,67.23,0,0,43.91,0,0,0,1.87,0,0,0,20.1,0,1.7,0,960.63,0,0.58,0.85,0,3.07,0,0,0,73.91,0,2.44,0,9.49
 72-82,0,0,0,0,1.82,0.89,0,133.19,0,0,63.75,0,3.55,0,5.42,0,0,0,36.87,0,0,1.92,1102.2,0.58,0,5.17,0,7.6,0,0,0,59.4,0,9.6,2.98,0
 84-94,0,0,0,0,6.09,7.31,0,94.12,0,5.41,37.84,0,0,0,3.08,0,0,0,15.7,0,0.57,0,747.02,0,2.7,10.5,0,17.01,0,0,0,41.81,0.68,1.72,0,0
 96-106,0,0,0,0,10.18,0,1.14,87.32,0,0,71.03,0,0.73,0,0.74,0,3.08,0,33.66,0,0,0,656,0,6.14,0.71,2.88,20.83,0,0,0,17.21,0,4.35,0,0
108-118,0,0,0,0,0.92,1.66,0,108.36,0,3.21,59.93,0,0,0.45,9.23,0,0,0,25.18,0,0,0.56,685.75,0,0.64,7.07,1.6,24.82,0,0,0,21.38,0,3.79,0,0
120,0,0,0,0,10.02,0,0,94.27,0,0,55.41,0,13.22,0,1.99,0,0,0,34.41,2.14,0,1.49,1479.87,3.89,0,5.35,0,14.7,0,0,0,23.89,0,19.07,0,0
