stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,6.79,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,5.3,0,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,23.24,0,0,0,0,0,0,1.48,0
 48-58,0,0,1.6,6.72,0,0,0.79,0,0,0,0.64,1.35,0,1.06,45.98,0,0,0,0,0,0,10.92,0
 60-70,0,0,0.94,13.41,0,0,2.2,1.23,6.06,1.63,0,8.84,0,4.6,70.24,0,0,0,2.47,0,0,4.87,0
 72-82,0,0,3.5,10.95,1.33,1.19,2.13,0,0.65,0,9.12,10.78,0,0,53.27,0.58,0,0,0.71,0,0,6.81,0
 84-94,0,0,3.7,11.31,0,0,0.62,1.81,1.37,0.57,2.53,10.65,0,0,53.17,0,0.67,0,1.64,0,0,11.71,9.33
 96-106,0,0,3.07,20.58,0,0,1.79,0,0,0,0,8.85,0.56,3.16,49.05,0,0,0,0,0,0,0,1.88
108-118,0,0.74,0,11.68,0,0,1.11,1.84,0.88,0,0,9.29,0.98,0,58.34,0,1.06,0,0,0,0,1.98,1.4
120,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,115.41,0,0,0,0,0,0,12.17,0
