stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,22.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.13,226.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.94,0,0,0,0,8.18,0,0,0,0,0,0,0
  7-9,105.85,8.31,0,37.5,0,0,0,0,0,0,0,0,31.28,0,0,0,0,0,0,0,0,0,0,0,335.9,54.92,0,0,463.94,0,0,0,0,0,0,0,0
 10-12,0,12.33,0,28.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.04,173.59,0,0,201.49,6.22,0,39.2,0,0,0,0,0
 14-21,0,0,0,2.58,28.77,4.08,12.61,0,0,0,2.14,1.88,1.29,1.57,0,0,0,0,0,0,9.19,0,0,23.03,112.2,1253.07,0,1.07,1,6.73,73.71,0,50.41,89.1,46.69,8.08,2.34
 24-34,0,0,2.21,6.96,24.58,4.96,18.94,0.67,1.16,0,4.26,0,1.23,10.51,0.61,8.83,0,13.26,3.4,6.72,87.13,0,0,95.56,248.28,47.86,0.65,1.82,0,20.55,0,1.92,106.7,14.09,143.55,30.05,12.42
 36-46,0,0,0,0.63,2.76,0,4.89,13.96,1.03,0.73,3.2,0,0,0,0,1.48,1.48,2.95,0,0,29.5,6.28,0,8.25,41.07,29.57,0,0,0,85.45,0,3.56,51.59,0.56,25.88,17.28,2.26
 48-58,0,0,0,0,0.52,0,6.4,0.46,0.4,0,2.63,0,0,0.59,0,3.65,0,1.97,0,0.53,6,0,0,0.97,10.16,22.9,0,0,0,35.35,0,0,5.83,0,1.19,0.93,1.5
 60-70,0,0,0,0,3.42,0,3.45,0,0,1.64,7.45,0,0,0,0,0,0,1.07,0,0,1.45,2.4,0,1.81,19.99,106.14,0,0,0,40.79,0,0,0.65,0,0,0,0
 72-82,0,0,0,0,9.14,0,0.55,0,0,0,5.66,0,0,0,0,0,0,5.06,0,0,3.85,0,0,0,2.56,11.48,0,0,0,19.87,0,0,0,0,1.48,0,0
 84-94,0,0,0,0,10.96,0,0,0,0.62,0,2.65,0.73,0.66,0,0,0.58,0.58,3.2,0,0,5.89,0.62,0,0,12.04,0,0,0,0,23.43,0,0,0,0,0,0,0
 96-106,0,0,0,0,7.72,1.15,0.65,0,0,0,10.32,0,0,0,0,0,3.2,6.87,0,0.67,14.15,0,0,0,5.27,19.38,0,0,0,4.06,0,0,0,0,0,0,0
108-118,0,0,0,0,17.2,0,4.56,0,0.52,0,9.72,2.14,0,0,0.49,0,1.63,9.27,0,0,12.78,3.67,0,0,1.37,93.96,2.11,0,0,7,0,0,0,0,0,0.89,0
120,0,0,0,0,11.24,0,0,0,0,0,39,1.38,0,0,0,1.46,3.65,12.15,0,0,3.82,1.16,8.9,0,14.49,0,0,0,0,1.61,0,0,0,0,0,0,0
