stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,12.35,189.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.39,296.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0
  7-9,0,0,16.16,0,0,3.93,0,0,0,0,0,0,0,0,0,0,76.27,0,0,0,24.06,7.85,0,0,0,0,0
 10-12,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.08,0,0,0,22.62,0,0,0,3.28,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,27.69,0,2.93,0,0,0.9,8.22,1.17,0,0,6.84,4.75,0,2.93,1.97,0,0
 24-34,0,0,1.54,0.69,0,5.51,0,1.06,0,0,64.75,0,1.73,1.43,0,0.6,27.67,0,0,0,0,0,0,0.67,6.96,0,0
 36-46,0,0,0,1.19,0,11.48,0,1.98,0,0,34.51,0,17.87,1.35,0,1.35,21.44,0,0,0,0,0,0.78,0,5.62,0,0
 48-58,0,0,0,0.46,0,6.6,4.55,5.34,0,2.01,14.4,0,6,0,0.54,0.8,8.05,0,0,0,0,0,0,0,1.37,0,0
 60-70,0,0,0,4.31,0,11.16,0,0.64,0,11.85,27.35,0,1.6,0.79,0,0,9.59,0,4.04,0.82,0,0,0,0,4.31,0,0
 72-82,0,0,0,0,3.83,36.54,0,0.75,0,7.16,41.42,0,4.72,1.48,0,1.63,9.9,0,0,0,0,0,0,0,9.27,0,0
 84-94,0,0,0,5.63,0.74,3.8,0,2.3,0.67,9.43,87.28,0,2.61,0.6,0,1.99,16.25,0,0,0,0,10.34,0,0,0,0,0
 96-106,0,0,0,2.05,0,14.25,0,2.76,1.52,23.18,72.34,1.2,10.99,1.31,0,0,15.86,0,1.03,0,0,0.83,0,0,0,2.39,1.24
108-118,0,0,0,4.78,1.4,0.45,0,0.57,0,9.4,86.5,0.82,9.84,2.22,0,1.17,13.62,0,0,0,0,0,0,0,7.3,0,0
120,0,0,0,1.37,0,11.72,0,0,0,8.96,47.01,0,14.54,0,0,0,26.01,0,0,0,0,0,0,0,0,0,0
