stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,681.6,14137.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.47,0,0,0,0,0,0,0,0,0
  5-6,642.73,4533.34,0,0,0,0,0,0,0,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,62.07,0,0,0,9.65,1336.98,0,0,0,0,0,0,0,0,0
  7-9,14.38,13.92,0,12.92,0,0,0,40.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.23,0,0,0,75.96,255.09,41.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.36,0,0,0,26.33,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,223.51,0,0,0,37.96,57.08,0,15.39,0,0,0,0,0,0,0
 14-21,0,0,0,2.62,29.88,1.9,0,0,0,0,0,11.01,6.03,0,0,3.31,0,0,0,0,1.02,3.31,0,2.92,17.44,51.3,0,0.83,1.37,308.38,1.12,8.43,2.24,11.07,0,0,3.55,0,0
 24-34,0,0,0,0,10.53,0,0,1.41,0.7,0,0,4.67,0,0,0,9.1,0,0,0.86,0,1.58,1.91,0,0.71,35.43,54.72,6.39,2.67,0,499,0,31.56,0,18.21,0,0,5.31,0,0
 36-46,0,0,0,0.84,10.29,0,0,3.51,1.04,0,1.06,7.92,0,0,0,1.93,0,0.61,3.02,0.7,2.57,6.41,0,1.61,36.17,51.25,5.04,1,0,556.1,0,34.98,0,25.7,0,0,0.81,0,0
 48-58,0,0,0,0,4.76,0,0,10.85,4.03,0,0.78,3.61,6.72,0.69,0,0,0,0,4.54,0,6.81,3.02,0,1.12,54.15,23.85,0,0.86,0,387.56,0,9.88,0,28.2,0,0,0.93,0,3.38
 60-70,0,0,0,0,10.21,0,0,9.49,6.86,0,2.63,11.68,8.42,0,0,1.75,0,0.77,1.82,0,4.12,1.3,0,0,52.53,2.75,3.87,0.62,0,376.24,0,7.74,0,11.9,0,1.56,0,0,0
 72-82,0,0,0,4.06,15.73,4.37,0,21.56,6.6,0,6.83,17.5,1.58,0,0,3.8,0,1.76,0,0,7.21,2.17,0,5.16,95.01,3.69,0.81,2.82,0,337.5,0,7.61,0,7.21,0,0,0,0,0
 84-94,0,0,0.66,0,41.54,7.65,0,46.14,13.3,0,3.02,30.37,0,0,1.12,14.09,0,1.74,0.68,0,4.04,7.24,0,0,87.98,5.08,9.92,0,0,1211.76,0,15.34,0,11.69,1.63,4.4,1.33,0,9.28
 96-106,0,0,1.43,1.03,64.96,8.31,0.8,21.23,15.69,2.85,7.82,24.58,1.32,0,0,17.92,0,1.19,0,0,13.92,8.97,0.59,0,70.85,3.49,11.9,3.04,0,1293.73,0,10.21,0,22.13,2.77,0,2.78,0.89,3.71
108-118,0,0,0,0.97,65.38,0,2.76,8.03,26.22,4.33,5.5,34.25,0,0,0,20.41,0.73,2.98,3,0,13.88,17.42,0,1.28,70.42,0,1.46,0,0,1038.76,0,20.85,0,0,2.02,0,9.04,1.03,3
120,0,0,0,0,34.52,0,0,0,26.46,0,0,45.43,0,0,0,8.16,0,4.65,0,0,11.84,1.37,0,0,103.14,0,1.91,1.98,0,615.16,0,14.19,0,4.72,0,0,0,0,8.94
