stage,axial,blastomeres,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  3-4,27.55,318.27,0,0,0,0,0,0,0,0,0,0,0,50.29,0,0
  5-6,0,40.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,20.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0
 24-34,0,0,0,0.77,0,0,0,1.74,0,3.46,0,4.63,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.73,8.39,0,0,0,0,0,0.72
 48-58,0,0,0.68,0.62,0,0.57,0,0.4,0,4.01,0,0,0,0,0,1.54
 60-70,0,0,4.13,3.04,0,0,0,2.6,0,12.68,0,1.49,0,0,0,2.55
 72-82,0,0,8.15,0,0,0,0,1.33,0,17.42,0,1.43,0,0,0,1.91
 84-94,0,0,9.16,1.2,0,0,0,1.11,0,8.53,0.83,1.11,0,0,0,0.98
 96-106,0,0,8.17,2.07,1.72,0.81,0,0.57,0,18.71,0,5.09,1.14,1.42,0,4.82
108-118,0,0,3.33,0.68,0,0,0.68,2.11,0,29.6,0,0.81,0,0,0.52,6.36
120,0,0,0,0,0,0,0,0,0,37.66,0,20.02,0,0,0,0
