stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,41.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.25,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.73,8.03,0,0,10.97,0,19.38,0,5.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.97,101.42,9.56,0,1.94,0,0,0,0,1.54,0,0.81,0.86,0,0,0,0,7.35,0,0,3.74,7.24,0,1.54,0.88,1.89,0,99.52,1.91,0,0,2.9,0,0,0,5.36,0,0
 24-34,0,0,0,0,162.78,1.05,0,16.48,0,2.96,0,0,6.4,0,94.46,1.51,0,2.54,0,0,7.36,11.91,0,0.83,76.95,0,0.76,0,0,0,657.32,0,6.17,0,1.29,9.05,0,0,105.2,0,0
 36-46,0,0,0,0,293.58,17.02,0,4.62,0,69.99,0.57,0,5.55,0,153.88,2.91,4.15,0.72,0,0.85,3.57,4.62,1.78,0,42.03,0,4.18,1.5,0,0,562.27,0,12.39,0,0,5.81,0,0,92.28,0,4.48
 48-58,0,0,2.17,0,167.71,0.91,0,10.45,0,36.9,1.21,0.99,1.35,0,238.79,0,0,0,0,0,5.49,4.73,0,0,41.4,0,3.19,1.22,0,0,111.68,0,0.6,0,0,5.35,0,0,45.24,0,2.41
 60-70,5.05,0,0,0,232.19,11.58,0,35.11,0,60.73,0,1.19,1.75,0,364.48,0,0,1.92,5.41,0,12.44,2.81,4.33,1,82.87,0,1.42,1.76,0,0,59.08,0,7.45,0,0,12.09,0,1.85,127.08,2.76,0
 72-82,0,0,0,0,176.46,0,0,7.39,0,25.96,0,17.88,7.6,0,273.28,0,0,7.52,2.82,0,6.63,0.88,1.66,5.14,27.33,0,1.95,1.06,0,0.72,1.34,0,0,0,0,1.01,0.97,0.75,73.29,5.28,6.98
 84-94,0,0,1.6,0,283.13,0,0,12.05,0,44.95,1.72,4.82,3.34,0,341.07,3.23,0,11.35,2.12,0,3.21,4.81,9.79,0,5.67,0,4.22,0,0,0,14.95,0,31.24,0,0,3.46,0,3.59,60.7,6.78,0
 96-106,0,0,2.7,0,381.09,18.68,0.97,12.05,0,15.61,1.02,7.96,21.98,4.75,211.16,15.89,0,15.77,14.43,0,55.35,6.74,3.29,0,41.79,0,12.76,5.32,0,2.5,25.95,0,5.54,0,0,0,2.39,0,265.36,9.48,0
108-118,0,0,2.02,0,309.66,1.17,7.77,14.7,0.58,12.75,0.46,7.14,24.57,0,236.06,9.52,0,8.07,3.28,0,41.9,0,3.75,3.7,22.8,0,1.97,2.37,0,19.47,24.21,0,23.42,0.69,0,0.61,1,2.93,220.17,17.29,0
120,0,0,0,0,204.53,15.63,0,15.27,0,12.31,0,3.77,24.68,0,420.42,3.26,0,2.19,2.34,0,42,4.42,0,0,27.44,0,3.4,0,0,0,10.96,0,32.25,0,0,0,1.12,0,253.03,68.22,0
