stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0.81,0,0,5.16,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,1,0,0,0,1.2,0,0
 60-70,0,0,0,0,0,0,0,13.3,19.67,0,0,0,0,0,0,32.67,0,0,14.85,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0.6,18.14,0,0
 72-82,8.27,2.07,1.16,15.14,0,0,0,36.21,691.11,30.19,0,0,1.15,0,0,0,0,4.91,310.34,0,0.51,54.81,0,2.37,0.49,0,5.05,0,0,0,1.86,5.71,0,7.21,12.95,6.38
 84-94,107.92,6.67,0,36.63,0,0,0,35.24,1396.3,0,0.94,0,0,2,0,10.58,0,4.62,290.47,0,1.42,49.36,0,0,0,0,14.61,0,0,0.94,0,14.17,0,8.37,0,0
 96-106,660.01,26.61,2.47,109.25,4.4,169.51,0.99,84.88,4585.23,0,4.17,1.33,227.47,0.58,2.3,10.78,0,53.57,2477.88,0.88,4.32,310.86,1.84,3.39,1.94,1.04,24.31,0,2.8,0,5.12,67.75,7.74,27.98,4.71,13.58
108-118,678.56,7.97,1.44,58.98,0.69,66.38,0,92.01,5888.29,0,1.5,1.6,1.08,0.49,0,0,0.66,27.42,3274.43,0,1.72,263.17,1.15,3.31,1.37,0,15.47,0.42,0.48,4.03,0,190.07,1.51,3.49,0.92,8.59
120,548.96,15.54,5.76,31.25,1.18,0,1.67,138.88,2775.66,0,3.44,5.68,30.49,3.04,0,9.99,11.42,54.79,4797.84,0,0,167.24,0,0,0,2.03,15.51,0,0,5.87,10.38,8.54,0,11.39,0,7.34
