stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,103.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.9,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0,0
  7-9,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89,0,0,0,0,0,0,0,1.29,44.77,0,0,0,0,0
 24-34,0,0,0.67,2.81,0,2.3,2.47,0,0,0,0,0,0,0,0,0,1.61,0,0,0,431,1.22,0,0,0,1.12,0.63,0,0.65,214.21,0,0,0.75,0,0
 36-46,0,0,0,0,0,14.7,0,0,1.05,0,0,0,0,0,0,0,4.77,0,0,0.94,964.82,0,0,0,0,0,0,0,0,374.83,0,0,0.77,0,0
 48-58,0,0,0.68,3.78,0,75.49,5.49,1.39,3.49,0,0,0,0,0,0,0,6.87,0,0,1.45,1802.72,0,2.36,0,0,3.59,0,0,0,331.07,0,0,7.59,0,5.33
 60-70,0,0,0.7,0.68,0.72,245.89,6.21,0,10.71,0,0,0,0.57,0,9.62,0,6.97,0,0,1.65,2719.88,0,0,0,0,0.82,0,0,0,335.14,0,0,1.65,0,8.91
 72-82,0,0,0,9.56,1,359.23,1.94,1.23,23.73,0,0,0,0,0,4.21,0,11.21,0,0,0,2995.83,0,0,0,1.08,0,0,0,0,222.18,0,0,0.72,0,7.55
 84-94,0,0,0,12.59,0.76,242.76,0,0,17.21,0.63,0,0.7,0,3.87,1,0,21.61,5.35,0.86,4.98,1968.31,0,0.69,0,0,0.73,4.19,0,0,181.75,0.71,3.54,3.66,3.97,0
 96-106,0,0,0,12.78,2.39,190.06,0,0.64,24.24,0,0,0,0,2.34,0.75,9.08,13.4,0,0,1.95,1625.39,3.66,0,0,0,0.75,0,11.55,0,79.13,4.84,0.76,0,1.02,0
108-118,0,0,0.57,9.86,8.27,287.23,0,0,8.76,7.18,0,0,3.98,0,0,0,15.16,0,0,1.41,1547.33,0,4.48,0,0,0,0,0.56,0,78.16,1.89,0,0.84,1.59,0
120,0,0,0,23.46,0,302.04,0,0,22.55,1.38,0,0,4.75,0,0,9.63,21.72,0,9.54,0,3223.78,0,0,0,0,1.07,0,0,0,97.37,0,0,3.19,0,0
