stage,blastomeres,epidermis,glial,paraxial.mesoderm,vasculature
  5-6,6.08,0,0,0,0
  7-9,0,0,0,6.99,0
 96-106,0,0.62,0,0,39.24
108-118,0,0,1.15,0,18.59
120,0,0,0,0,218.53
