stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.29,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,50.41,0,0,0,0,0,0,0,0,18.68,0,0,0,0,0
 24-34,0,1.13,0,0,1.89,0,0,2.36,0,0,0,0,0,0,0,0,0,0.9,316.13,0,0.65,0.99,0,0,0,0,1.02,53.99,0,0,0.82,0,0
 36-46,0,0,0,0,14.81,0,0,1.73,0,0,0,0,0,0,0,2.59,0,1.83,850.71,0,2.89,0,0,0,3.09,0,0,162.37,0,0,0.81,0,0
 48-58,0,0,1.54,0,178.14,0,0.38,28.86,0,0.49,0,0,0,2.15,3.73,14.9,0.52,1.63,1418.97,0,3.93,0.69,0,0,10.1,0,0,204.6,0,0,0.45,0,2.01
 60-70,0,0,8.2,0,549.68,0,1.99,17.89,0,0,0,8.99,0,0,0,21.2,0,0,1684.96,2.9,0,2.6,0,0.66,0,1.01,0,205.3,0,0,2.47,0,0
 72-82,0,0,9,0,776.51,0,0,26.61,0.56,1.6,0,3.25,0,5.32,0,21.93,0,4.18,1281.89,0,2.23,0.99,0,0,2.93,0,0,133.47,6.32,0,1.93,1.73,0
 84-94,0,0,5.7,3.1,508.48,0,0,36.25,0,0,3.02,8.36,0,0,0,27.95,0,0,880.77,0,0.93,0.89,0,0,3.69,0,0,110.3,2.36,0,0,0.66,8.66
 96-106,0,0,9.67,12.4,556.2,0.62,5.63,24.26,0,0,0.77,1.18,0.97,1.56,3.42,14.45,0,0,766.35,0,4.33,1.53,0,0,19.8,0,0,56.39,0,1.45,0,0.96,1.06
108-118,0,0,6.33,0,391.5,0,0.73,33.08,0.71,0,0,2.13,0,0,0,9.13,0,0.62,966.3,0,0,0,0,0,3.08,0,0,22.39,0,1,0,3.79,0
120,0,0,7.64,0,374.81,3.51,11.96,65.23,0,0,3.24,1.59,0,0,0,12.43,0,0,1237.19,0,3.27,0,0,10.01,0,0,0,40.1,0,0,0,0,0
