stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.85,2007.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.55,0,0,0,0,0,0,0,0,0,0
  5-6,57.8,1001.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,0,0,0,15.58,54.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.35,6.98,0,0,25.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,0.92,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0.92,15.62,0,0,0,0,0
 24-34,0,0,0.71,0,0,0.66,0.65,0.6,0.89,0,0,13.57,0,0,0,0,0,4.28,0,0,0.75,139.4,0,4.38,1.03,0,0,0,0,7.54,0,68.31,0,0,2.87,0,0
 36-46,0,0,0,0,0.92,0,2.52,0,0,6,0,13.78,0.57,0,0,0,0,1.06,0,0,0.58,372.82,0,7.93,0,0,3.61,0,0,0,0,114.83,0,0,3.44,0,0
 48-58,0,0,0,0,0,0,42.96,0,0.51,25.3,0,2.82,0,0,0,0,0,1.71,0.7,0,0,620.98,3.93,10.87,0,0,0.69,0,0,0,0,159.43,0,0.37,2.29,0,0.63
 60-70,0,0,0.57,0,5.06,0,156.42,0,0,46.31,0,3.98,0,0,0,0,0,4.89,0,0,0,946.07,11.42,9.55,0,0,0,0,0,1.33,0,149.95,0,0,0.72,0.81,0
 72-82,0,0,0,0,2.24,0,304.73,0.64,0,146.87,2.23,3.35,1.31,0,0.97,3.49,3.96,12.63,0,0,1.64,1298.49,0,18.4,0,0,1.76,0,0.52,0,0,111.6,0,0,5.05,0.52,0
 84-94,0,0,0,0,3.42,0,260.81,0,1.1,107.86,3.33,2.05,0.75,0,0,0,0,4.14,0,9.13,0,833.95,0,2.16,7.38,0,1.68,0,0,0.62,0,75.32,0,0,2.52,4.35,0
 96-106,0,0,0,0,3.73,11.66,345.25,0,0,197.72,4.91,1.31,0,0,2.64,4.97,0,6.55,0,0.93,1.66,954.68,0,19.15,4.97,0,7.5,0,0,0,0,44.64,0,0,8.06,1.92,0
108-118,0,0,3.51,0.74,3.73,0,268,2.96,0,164.6,6.25,4.3,0.64,2.47,0,2.78,0,14.28,0,1.16,0,1031.36,1.39,11.84,2.19,0,6.71,0,0.53,1.12,0,44.37,1.56,0,15.64,0,8.22
120,0,0,0,0,17.2,0,295.09,0,0,214.38,11.86,1.15,0,0,0,5.48,0,12.89,0,0,2.62,1795.61,0,17.67,0,0,2.32,1.12,0,0,0,55.21,0,0,1.25,0,0
