stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,35.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,360.49,0,0,1.34,0,2.2,0,0,0,3.92,0,0,0,0,0,0,0,1.82,2.21,0,1.33,36.86,0,0,0,0,2.95,0,0,0,0.6,3.96,0,0,0,0,0
 36-46,0,0,0,1642.63,0,0,2.29,0,55.96,3.07,6.34,0,0,0,0,0,0,0.67,0,0,4.44,8.04,0,0,33.55,0,7.84,0,0,1.47,0,0,0,0,13.89,0,0,0,0,2.19
 48-58,0,0,0,3091.51,0,0,48.78,0,203.64,0.49,11.67,0,0,0,0,0,0,0.38,0,0,11.68,21.12,0,3.07,118.21,0,0.47,0,0,0.99,0,0,0,0,25.66,0,0,2.84,0,3.83
 60-70,0,0,0,4556.46,0,0,108.72,0,304.47,1.03,16.31,1.98,0,0,0,6.77,0,0,0,4.47,31.51,50.52,0,5.56,88.89,0,11.76,0,1.44,7.12,0,0.57,0,0,49.55,4.2,1.84,2.26,11.75,4.87
 72-82,0,0,0,5371,3.68,0,103.67,0,462.77,2.55,15.76,8.19,0,1.32,5.65,27.26,0,7.17,4.65,0,29.39,96.04,13.77,2.18,198.3,0,20.34,1.06,0,8.28,1.65,0,0,0,11.86,37.18,0.75,6.79,7.63,5.82
 84-94,0,0,3.18,13709.69,22.48,0,140.92,1.38,1338.96,0,23.32,27.76,0,1.66,2.58,30.7,0.62,2.79,3.62,0,42.54,174.81,0,4.25,141.05,0.61,55.04,0.62,0,26.49,0,0.95,0,0,32.35,116.28,0,1.99,17.34,5.88
 96-106,0,0,0.95,21543.5,97.78,11.62,252.91,9.27,2066.73,19.71,57.46,106.6,0,2.5,17.08,53.46,2.59,11.26,41.88,0,93.74,305.29,8.74,8.19,635.36,0.61,171.9,3.71,3.91,98.43,4.11,0,0,0,27.79,160.98,7.48,11.13,8.81,20.34
108-118,0.83,0,4.49,27150.77,31.48,10.27,226.88,1.63,3234.46,3.91,55.59,140.47,0,0,3.7,52.54,2.08,2.73,11.45,1.8,101.08,171.86,4.95,13.21,415.81,1.58,142.21,4.38,1.83,55.51,0,4.46,0.44,0,21.97,168.56,2.81,18.84,9.45,14.53
120,4.46,0,0,12924.18,10.47,2.02,117.34,1.78,1598.62,0,47.41,39.78,0,0,1.29,17.67,7.23,5.33,5.65,0,84.37,134.86,0,16.73,458.88,0,47.78,7.12,0,29.3,0,1.22,0,0,0,50.89,3.8,2.71,4.27,0
