stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.46,0,0,0,0,0,0,0,0,17.54,0,0,0,0,0,0,0,13.01,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,1.05,74.43,11.07,0,0,0,0,0,0,6.81,0,0,0,0,2.64,0,0,0.91,3.98,0,0,1.56,0,0,0,5.44,0,0,0
 24-34,0,0,0.84,48.26,1.88,0.91,0,0.67,0,0,0,19,0,0,0,8.83,0,0,0,0,15.42,0,0,0,0,0,7.06,0,0,0,0
 36-46,0,0,0,4.51,0.66,0,0,1.16,0,0,0.96,6.01,0,0,0,33.9,0.86,0,0,0,9.94,0,0,0,0,0,0,1.33,0,0,0
 48-58,0,0,0,0.81,0,0,0,0.44,0,0,0,1.98,0,0,0,29.68,4.3,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.23,0,0,0,0,1.94,0,0,0,3.92,0,0,0,24.09,27.21,0,0,0,9.51,0,0,0,0,0,0.63,0,0,0,0
 72-82,0,0,6.91,0,1.87,4.13,0,6.04,0,0,1.5,60.52,0,0,0,26.51,64.69,0,0,0,13.65,0.52,0,0,0,2.94,0.61,1.41,0,4.49,0
 84-94,0,0,1.92,1.01,0,0.61,0,9.47,0,0,12.81,105.35,0,0,0,17.83,45.14,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.94,0.66,8.24,1.39,1.05,14.6,1.12,0.89,2.76,691.84,0,1.23,0,51.64,120.89,0,0,0,60.75,0,0.67,0,0,0,0.61,0,0,2.63,0.8
108-118,0,0,9.51,2.03,5.26,0,2.6,11.34,0,0,3.68,1310.65,0,0.46,1.95,27.11,109.29,0.94,2.42,0.48,54.11,0,0,0,1.83,4.29,5.52,0,1.2,6.24,0
120,2.37,0,3.01,4.41,5.59,0,0,0,0,3.97,8.04,1021.16,0,0,0,114.93,108.68,0,0,2.04,71.1,0,0,0,0,0,2.97,0,0,0,0
