stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,4.84,0,0.86,0,0,0,6.52,0,0,2.13,0,4.31,0,0,1.98,53.92,1.33,0,0,0,0.87,0.81,25.85,0,1.41,0,0
 24-34,0,0,0,1.49,2.05,0,0,0.8,0,4.95,0,0,0,0,2.74,0,0,1.8,100.26,1.73,0,1.09,3.96,0.98,0,37.38,0,0.64,0,0
 36-46,0,0,0,0.55,0,6.42,0,0.57,0,8.44,0,2.56,0,0,21.48,0,3.45,0.6,140.36,4.11,1.09,0,7.82,0,0,30.06,0,5.64,0,0
 48-58,0,0,0,1.17,0,5.8,0,1.13,0,6.92,0,0,0,7.88,11.53,0,2.83,0,40.97,0.6,0,0,0,0,0,12.55,0,0,0,0
 60-70,0,0.65,0,0,0,18.31,0,0.81,0,10.12,0,0,0,0,16.33,0,0,0.59,38.7,0,0,0,1.68,0,0,5.6,0,0,0,0
 72-82,0,0.57,0,1.84,0,5.4,0,0,0,7.46,0.63,0,0,0,17.14,1.38,0,0.69,44.11,3,0,1.32,3.14,0,0,5.29,0,1.14,0,0
 84-94,0,0,0,0.63,4.59,16.61,0,0,0,8.18,0,0.88,0,0,18.64,0,4.3,0.6,16.02,3.1,0,0,0.57,0,0,4.65,1.23,0,7.2,2.44
 96-106,0,0,0,2.16,2.66,8.21,0.67,0,0,6.74,2.58,0,0,0,13.9,0,0,0,44.75,0,0.67,0.85,2.16,0,0,0,1.05,0.71,0,0
108-118,0,0,0,0.59,0,9.34,6.96,0.96,0.53,3.32,0,0,0.72,0,9.96,0,0,1.47,36.67,5.25,0,1.6,7.34,0,0,4.57,0,0,0.95,0
120,0,0,0,0,0,2.51,0,0,0,3.49,0,0,0,0,1.15,0,0,7.32,60.66,20.49,17.36,0,13.6,0,0,0,0,0,0,0
