stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,4.12,0,0,0,0,0,0,0,0,0,3.57,0,8.6,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,2.9,2.69,0,0,0,0,0.91,4.04,0,2.74,2.01,0,0,0,0,0
 24-34,0,1.58,0.95,0,0,0,0,0,2.64,0,0.77,2.52,0.9,0,0,6.22,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0
 60-70,0,0,0,0,0,1.26,3.97,0,2.35,1.91,0,3.48,0,0,0,0,0
 72-82,0.5,0,0,0,0,0,3.22,0,0,0,0,5.96,0,0,0,0,0
 84-94,0.66,0,0,0.77,0,0,12.13,0,0,0,0,0,0,0,3.29,0,0
 96-106,0,2.58,0,4.93,0,0,7.78,0,2.39,0,0,10.87,0,0,1.78,0,0
108-118,0,0.7,0,0,4.68,0,13.53,0,0,0,0,1.63,0,0,0,0,1.15
120,0,0,0,0,0,0,17.69,0,0,0,0,3.57,0,0,0,0,0
