stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,16.72,126.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.93,0,0,0,0,0,0,0,26.93,0,0,0,13.39,0,0,0
  7-9,0,12.02,0,13.73,0,0,0,0,0,17.69,0,0,0,10.78,0,0,0
 10-12,0,6.19,0,0,0,0,0,0,0,77.94,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.86,4.33,0,0,0,0,0.95,0
 24-34,0,0,0,2.33,0,2.38,0,0,0,26.97,0,1.63,0,0,1.18,0,2.5
 36-46,0,0,0,29.98,0,0.97,0,0.77,0,34.52,0,0,0,0,0,0,3.52
 48-58,0,0,0,30.04,0.42,2.51,0,0,0,22.39,0,0,0,0,0,0,1.86
 60-70,0,0,0.92,56,0,2.58,0.85,0,0,14.34,0,0,0,0,0,0,0
 72-82,0,0,1.03,33.03,0.61,1.8,0,0,1.32,9.72,0,0,0,0,0,0,0
 84-94,0,0,0,13.08,0,0.66,0,1.42,0,5.4,0,0,0,0,0.59,0,0
 96-106,0,0,0,36.8,0,0,0,2.76,0,2.2,0,0,0,0,0,0,0
108-118,0,0,0,39.45,0,0,0,0.79,0,10.45,0,0,0.76,0,0,0,0
120,0,0,1.62,27.42,0,0,0,0,0,8.47,0,0,0,0,0,0,0
