stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.84,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,450.25,0,1,0,0,0,1.17,0,0,0,2.97,0,38.16,0,0,0.89,0,0,1.07,89.41,0,0,128.01,0,18.68,0,2.5,39.95,0,0,0,0
 24-34,0,0.86,79.56,0,0,0,0,0,1,0,0,0,0,0,211.65,13.43,0,1.11,0,0.82,2.02,589,0,0,199.17,0,1.74,3.34,0,203.64,0,0,0,0
 36-46,0,0,15.93,0,18.32,0,0,0,5.95,0,0,0,0,0,110.29,0,8.55,2.05,0,0,3.85,972.59,0,0.68,83.46,0,0.7,0,1.25,368.12,0,19.72,0,0
 48-58,0,0,23.18,0,95.3,0,0,0.94,6.43,0,5.14,2.78,0,0,124.57,7.23,1.95,7.55,0,0,12.43,2211.49,0,0,128.79,0,6.35,0,0,807.78,0,0.5,0,8.04
 60-70,0,0,0,0,76.18,0,0,0,8.65,0,0,0,0,0,65.05,0,0,6.62,0.77,0,1.76,1959.43,0,0,97.11,0,7.05,0,0,345.67,0,3.07,0,0
 72-82,0,0,11.46,0,166.19,0,2.63,2.26,11.62,0,0,0,0,0,94.31,0,0,23.14,0,0.53,0.71,1491.35,0,0,155.58,0,0.7,0,0,195.28,0,0,0,1.08
 84-94,0,0,7.26,0.89,149.73,0,13.42,0,16.15,0,0,0,0,0.67,81.03,0.56,0,15.77,0,1.22,1.96,1252.69,0,0,182.58,0,2.86,0,0,169.05,0.88,0,0.64,0
 96-106,0,0,18.12,2.18,159.82,0.92,1.58,0,22.2,1.43,0,3.36,0,10.06,96.59,0,0,16.26,2.06,0,0,1003.51,0,0.6,205.17,0,12.35,0,0,67.43,0,0,0,0
108-118,0,0.89,9.74,3.25,192.58,0,0,0,18.64,0,0,0,1.24,0,64.71,1.1,0,15.65,0,0,0,1089.37,0,0,185.55,0,2.6,0,0,125.74,0.86,0,0,0
120,0,0,24.41,8.51,177.98,0,1.12,5.01,46.14,10.01,0,0,0,0,39.31,0,0,31.64,0,0,0,1595.93,1.33,0,266.48,8.63,8.44,0,0,71.62,0,0,0,0
