stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.43,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.88,1.92,0,0,0,0.82,0,2.09,50.26,0,0,0,0,0
 24-34,0,0,4.55,0.59,3.47,0,0,10.66,0,0,3.95,0,0,1.72,0,0,0,0,0,1.35,0,0.85,830.13,17.56,0,0,0.78,0,0,0,208.76,0,0,2.74,0,0
 36-46,0,0,4.25,0,0.79,0,0,105.73,0,0,5.85,0,0,0,0,0,0,1.34,0,1.47,0,0,2412.25,21.65,4.4,0,0,0,0,0,382.91,0,0,0.59,0,0
 48-58,0,0,1.14,0,5.8,0,0,336.55,0,0,26.47,0.39,1.53,6.66,0.46,0.92,0,0,0,18.23,0,2.63,3013.98,10.66,0.7,0,5.79,0,0,0,468.89,0,0,1.35,0,9.49
 60-70,0,0,3.56,0,6.72,0,0,769.45,0,1.48,30.47,0,0,0,0,0,0,6.61,7.12,28.06,0,0,3287.01,10.89,0,0,3.71,0,0.73,0,499.24,0,0,0.63,0.81,6.52
 72-82,0,0,7.13,0,17.73,3.18,0,698.14,0,0,30.08,3.19,0,3.51,0,1.67,0,6.13,0,24.64,0,2.28,2295.92,23.6,0,0,1.19,0,0,0,234.13,2.43,0,7.09,0,6.4
 84-94,0,0,5.37,0,7.34,6.09,0,376,0,1.13,22.65,2.44,0,9.43,0,1,0.64,0,0,15.7,0,1.95,1421.07,10.87,0.85,0,5.36,0,0,0,166.57,0.6,0,0,0.64,7.62
 96-106,0,0,3.51,0,13.47,10.95,0,403.94,0,0,36.12,1.47,0,0,3.41,5.72,0,0,0,13.07,0,1.8,1033.72,8.83,0.98,0,2.78,0,0,0,88.67,3.47,0,0,0,8.01
108-118,0,0,10.82,0,22.98,0,0.5,373.1,0,2.55,31.33,7.25,0,3.72,0,0,0,2.5,4.51,25.27,4.88,0.53,1692.22,10.17,0,0,0,0,0,0,57.42,3.08,2.8,3.73,0,0
120,0,0,3.52,0,11.92,21.65,0,448.92,1.62,16.22,24.19,7.81,0,7.49,0,0,0,0,0,23.15,0,10.8,2951.12,8.21,0,0,4.65,0,0,0,68.46,0,0,3.98,0,0
