stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,107.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0
  5-6,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0
  7-9,0,0,10.66,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.07,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,39.39,0,0,0,0,11.84,0,0,0,0
 14-21,0,0,0,2.96,0,0,0,0,0,0,6.12,0,0,0,0,0.93,0,1.79,0,5.54,71.07,0,0,0,0,2.11,6.74,0,99.03,85.8,44.06,0,0,0
 24-34,0,0,0,2.27,0.76,0,6.64,2.31,0,0,8.57,0,0,1.23,0,2.89,0,1.26,0,4.9,242.69,0,0,0.74,0,0,0,3.46,23.29,5.38,85.36,0,8.99,0
 36-46,0,0,0,2.63,0,0,3.44,23.5,0,0.57,34.05,0,0,0,0,0.77,4.34,0,0,10.36,417.1,0,0,4.08,0,1.31,0,0,13.44,0,48.2,0,0,0
 48-58,0,0,0,6.28,0,0,19.15,20.79,0,0.46,40.76,0,0,0,0,2.49,0,29.48,0.81,6.28,452.57,0.72,0,0,0,4.11,0,0,7.32,0,53.72,0,0,1.38
 60-70,0,0,0,0,0,0,20.42,9.49,0,0,94.88,0,0,0,0,0.63,0,14.24,0,3.34,322.34,0,0,0,0,0,0,0,12.66,0,30.98,0,0,0
 72-82,0,0.53,0,0,4.91,0,20.24,2.96,0,0.67,108.4,0.72,0,0,0,5.15,0,22.03,2.16,5.11,232.57,0,1.48,0,0,0.67,0,0,1.35,0,17.43,1.72,0,0
 84-94,0,0,0,3.8,0,0,34.29,2.69,0,0,105.11,0,0,0,0,4.8,0,24.56,0,6.81,195.17,0,0.99,0,0,3.66,0,0,8.01,0,12.63,0,0,0
 96-106,0,0,0,0.82,1.3,1.71,56.46,4.52,0.56,0,101.35,0.92,0,0,1.53,5.76,0,38.85,0,3.08,109.53,0,0,0,0,1.98,0,0,1.57,0,12.97,0,0,0
108-118,0,0,1.47,5.19,0,0.65,33.73,3.7,0.95,0,115.44,1.54,0,0,0,2.63,0,15.46,0,7.12,108.72,0,0,0,0,4.11,0,0,4.63,0,6.25,1.72,0,1.56
120,0,0,0,0,10.44,3.02,68.97,3.18,0,0,277.27,1.38,0,0,0,1.62,0,24.84,0,3.58,131.87,0,0,0,0,0,0,0,4.7,0,2.02,0,0,0
