stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,2476.1,28846.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251.33,0,0,0,0,0,0,0,0,0,0
  5-6,2421.25,20062.61,41.27,0,0,0,0,0,84.7,0,0,0,0,0,0,0,0,2519.39,33.65,0,135.82,0,251.03,0,0,0,0,0,0,0,0,0,0
  7-9,135.22,129.24,122.54,0,0,134.95,0,0,137.79,0,0,0,0,0,0,0,0,2157.26,103.49,0,619.81,0,13.56,2367.88,0,0,0,0,0,0,0,0,0
 10-12,0,53.69,19.45,0,0,61.05,0,0,23.02,0,0,0,0,0,0,0,0,692.11,91.56,0,143.58,0,0,723.78,0,40.85,0,0,0,0,0,0,0
 14-21,0,0,1.07,6.02,0.89,1.98,0,2.23,0,0,0,0,8.42,0,6.07,0,4.21,65.46,1.47,0,0.89,0,1.02,57.21,5.07,0,0,2.76,8.86,0,0,0,0.85
 24-34,0,0,0,0,3.79,26.35,0,2.39,0,2.31,0,0,0.67,8.72,6.06,0,0,73.19,0,0,0,0,1.07,5.16,0,0,0,2.24,28.67,0,5.56,0,21.41
 36-46,0,0,0,0,3.37,24.93,0.64,0,0,15.75,2.85,0,0,27.66,4.11,0.7,0,33.77,0.88,0,0,0,0,1.98,0,0,0,0,15.67,0,1.6,0,23.96
 48-58,0,0,0,1.21,0,36.31,0,11.06,0,15.66,4.29,0.51,0,17.07,11.35,0,2.86,34.58,0.42,0,0,0,0,0,0,0,0,0,2.44,0,2.24,0,50.93
 60-70,0,0,0,0,0,18.91,0,3.96,0,12.44,12.68,0,0,18.88,11.29,0,0.66,19.37,0.71,0,0,0,0,0,0,0,0,0,0.86,0,1.65,1.27,17.33
 72-82,0,0,0,0,0,9.43,0,4.27,0,13.97,19.18,0,0,0,19.13,1.42,0,12.37,0,0,0,1.31,0,0,0,0,0,0,0,0,3.34,0,32.49
 84-94,0,0,0,0,0,11.18,0,0.69,0,41.25,17.62,0,0,11.04,5.95,2.32,0,12.06,0,0,0,0,0,0,0,4.28,0.78,0,0,0,8.11,0.63,8.75
 96-106,0,0,0,0.62,0,15.54,1.19,0.76,0,27.9,9.67,0,0,0,4,0,2,7.69,0,0,0,0,0,0,0,0.61,0,0,2.95,1.2,2.9,1.17,1.85
108-118,0,0,0,0,0,8.01,0,0.54,0,30.22,31.13,0,0.7,4.72,9.14,0,0,15.7,0,0.57,0,0,0,1.27,0,0,0,0,0,0,2.19,0.72,1.46
120,0,0,0,0,0,1.3,0,0,0,42.04,32.28,0,0,3.89,2.28,0,0,5.21,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,10.22
