stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,7.56,106.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.8,10.73,11.14,0,20.38,0,0,14.1,0,0,0,0,285.55,10.18,0,61.07,0,0,0,9.82,0,0,0
 10-12,0,7.98,0,0,33.05,0,0,9.9,0,0,0,0,217.66,0,0,68.26,0,10.79,0,7.7,4.89,0,0
 14-21,0,0,0,1.39,4.55,0,1.51,0,0,0,0.89,0,20.63,0,0,0,0,0,7.92,0,8.86,4,0.96
 24-34,0,0,0,0,3.1,0,0,0,0,1.29,5.43,0.75,25.44,0,0,0,0,0,0,0,0.88,3.66,0
 36-46,0,0,0,0,1.99,0,0,0,0,0,3.5,0.61,10.63,0,0,0,1.71,0,0,0,0,12.34,0
 48-58,0,0,0,0,2.26,0.53,0.48,0,0,0,2.36,0,10.01,0,0,0,0,0,0,0,0,2.33,0
 60-70,0,0,0,0,3.91,0,0,0,0,0,7.13,0,8.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.8,0,0,0,0,0,0.78,0,5.67,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.49,0,0,0,0,0,2.84,0.59,1.45,0,0,0,0,0,0,0,0,0.9,2.74
 96-106,0,0,0,0,2.38,0,1.52,0,0,0,0,0,0.8,0,1.47,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.19,0,0,0,0.46,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,22.85,0,0,0,0,0,0,0,0,0,0
