stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.98,427.07,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,29.07,0,0,0
  7-9,11.55,22.29,3.32,0,0,20.8,0,0,6.49,0,0,0,0,0,160.24,0,0,0,57.63,0,0,0,0
 10-12,0,13.19,0,0,0,15.35,0,0,3.66,0,0,0,0,0,202.93,5.34,0,0,120.76,0,16.29,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,8.15,0
 24-34,0,0,0,0,0,0,0,0.6,0,0.97,0,0,0,1.48,31.09,0,0.6,0,0,0,0,7.17,0
 36-46,0,0,0,0,0,3.07,0.57,0.72,0,0,0,3,0,0,16.51,0,0,0,0,0,0,0.98,0
 48-58,0,0,0,0,0,6.83,0,0,0,0,0,1.18,0.55,0,10.94,0,0,0,0,2.09,0,0.97,1.91
 60-70,0,0,0,0,0,0.67,0,0,0,0,0,3.95,0,1.94,10.98,0,0,0,0,3.47,0,0,0
 72-82,0,0,0,0,0,10.62,0,1.8,0,0,0,0.66,0,0,0.73,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.67,0,0.84,0,0,0,0,0.63,1.94,0,0,2.58,0,0,0.97,0,0,0,0,0
 96-106,0,0,0,0,3.04,0.88,0,0,0,0,0,1.67,0.59,0,11.66,0,0,0,0,0.94,0,0,0
108-118,0,0,0,0,0,0,0,1.11,0,0,0,0.69,0,0,2.62,0,0,0,0,0,0,0,0
120,0,0,0,2.29,0,2,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0
