stage,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,somites,spinal.cord
 10-12,0,0,0,0,0,0,7.75,0,0
 14-21,0,0,0,0,1.02,0,0.85,0,5.27
 24-34,0,1.11,0,0,0,0,41.61,0.61,11.21
 36-46,0,0.75,0,0,0,0,81.1,0,5.1
 48-58,0,1.73,0.38,0,0,0.38,90.6,0,16.21
 60-70,0,6.91,0,0,0.99,0,71.17,0,5.27
 72-82,0,14.39,0,0,0,0,105.48,0,20.94
 84-94,0,2.77,1.82,0,4.96,0,62.87,0,12.18
 96-106,2.92,10.55,0,0,0.92,0,40.07,0,5.89
108-118,0,3.29,3.12,0.43,1.62,0,64.65,0,11.87
120,0,5.92,0,0,9.37,0,83.34,0,8.02
