stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 24-34,0,0.69,0,0,0,0,0,0.95,0,0,0,6.64,0,0,0,7.61,0,0
 36-46,0,0,0,0,0,0,0,0,0.66,0,0,1.08,0,0,0,0.9,0,0
 48-58,0,0,0.63,0.67,0,0,0,0,2.47,0,0,2.79,0,0,0,1.49,0,0
 60-70,0,4.19,0,2.57,0,0,0,0,0.72,0,0,0,0,0,0,2.73,0,0
 72-82,0,0.62,0,0,0,0,0,0,2.42,1.47,0,2.17,0,0,0,0,0,0
 84-94,1.76,0,0,2.86,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.57,0,0,2.37,0,0,0,0.56,0,0,0,0,0
108-118,0,0,0,0,0.49,0,0.45,0,1.54,0,2.8,2.05,0,5.33,0,0,0.7,5.43
120,0,0,0,1.08,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0
