stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9.49,0,0,0,0,0,0,0
 14-21,0,3.6,1.89,1.95,0,0,4.35,0,2.08,0,4.18,17.93,0,0,0,0,0,0.89,2.01,12.19,0,1.5,0
 24-34,0,1.68,0,0.87,0,0.6,0.76,0.79,0.63,0,0.84,15.38,0,0,0,0,2.47,0,0,2.39,0,0,0
 36-46,0,0,0,3.72,0,0,0,0,0.72,0,1.51,36.69,0,1.38,1.22,0,1.41,0,0,10.36,0,1.05,0
 48-58,0,0,0,0.42,0,0.56,0,0,1.66,0.54,0.68,11.23,0,0,0,0,1.01,0,0,4.68,0,0,0
 60-70,0,0,0,20.2,0,0,0,0,0.58,0,0,13.78,0,0,0,0,0.71,0,0,4.11,0,0,0
 72-82,0,0,5.07,13.14,2.27,2.82,0,0,0,0,0,25.59,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,6.99,0,0,0,0,1.63,0,0,7.6,1.8,0,0,0,2.91,0,0,0,1.17,0,0
 96-106,0,0.63,8.6,1.76,0,0,0,0,0,0,0,16.39,0,1.81,0,0,7.63,0,0,0,0,0,0
108-118,0,0,0,4.14,0.46,0,0,0,1.13,0,0,1.46,0,0,0,0,0.8,0,0,0,0,0,2.69
120,0,0,0,0,0,1.21,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0
