stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,66.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.25,0,7.71,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.14,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.49,0,0.92,0,0,0,0,0,0,0,0,2.5,0,5.34,0,0.93,0,2.38,0,0,2.04,10.36,0,0,0.81,0.97,0,3.38,0.9,2.36,0.83,0,1.61,5.02,0,0,0,0,0
 24-34,0,2.39,0,3.39,0,0,4.38,1.39,0.6,0,0,0,0,6.64,0,8.74,0,0,0,4.46,0,0,7.86,38.98,1.17,0,0,0,0,16.65,0,0,0.99,4.17,0,24.68,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.79,23.98,0,0,1.37,0,0,2.54,0,16.14,0,0,0,4.31,0,0,1.33,29.56,0,0,2.4,0,0,7.62,0,6.89,0,23.86,0,22.9,0,0,4.69,0,0
 48-58,0,0,0,0,0,0,5.1,42.61,0,0.84,7.37,0,3.31,2.54,0,2.2,0,0,0,5.49,0,0,4.48,53.11,0,0.88,0,0,0,19.48,0,0,0.85,25.68,0,18.51,0,0,4.75,0,0
 60-70,0,8.6,0,6.05,0,0,7.48,25.41,0,0,22.98,0,4,2.87,0,4.23,0,1.21,5.16,18.84,1.86,0,3.76,54.36,0,1.16,0,0,0,20.58,0,0,3.41,21.88,0,13.5,0,0,2.95,0,0
 72-82,0,8.98,0,1.78,1.11,0,10.29,16.63,7.37,0,48.67,11.65,0.59,1.13,0.58,8.46,0,2.4,0,17.42,6.19,0,6.12,76.92,0,0.93,3.35,0,0,16.29,0,0,0,9.45,0,6.18,0,3.36,1.53,2.15,0
 84-94,0,15.6,0,1.46,0.84,0,13.48,4.37,0,0,27.79,17.61,0.86,0,0,8.49,0.61,0.92,6.31,14.95,5.83,0,4.78,53.74,0,0,4.91,0,0,23.52,0,0,2.93,13.92,0,13.97,0,0,1.81,3.64,0
 96-106,0,27.66,0,4.24,1.29,0,38.69,13.58,0,0,81.66,19.4,0,0.69,0,25.85,1.37,0.79,21.69,36.99,0.62,0,7.46,77.48,0,0,9.9,0,0,22.84,1.35,0,0.95,24.32,0,7.84,0,1.23,7.14,0,0.8
108-118,0,12.89,0,5.66,1.41,3.43,33.43,27.33,0.45,0,85.11,21.76,0,0.68,0.62,23.05,0.84,1.78,0,30.92,6.8,1.03,18.16,111.82,0,1.12,8.14,0,2.11,14.6,0,0,1.77,8.18,0,1.26,1.52,3.58,2.05,0,0
120,0,5.54,0,5.15,3.22,1.61,16.78,21.05,1.16,0,106.01,12.91,0,1.85,3.97,3.24,2.83,1.11,0,25.9,0,0,6.77,171.08,0,5.36,11.68,0,0,9.35,0,0,3.24,8.36,0,0,0,0,0,10.35,0
