stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,67.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.74,45.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.4,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,454.17,0,10.83,0,0,0,4.61,0,0,0,0.99,0,24.13,0,0,1.02,0,0,0.97,333.76,0,0,196.17,0,2.89,0,3.2,0,0,3.46,384.97,0,0,0,0,0
 24-34,0,0,0,0,93.57,0,4.39,0,1.93,0.69,0,0,0,0,0,0.83,212.68,19.86,2.86,5.03,0,0,2.62,1241.44,0,1.21,150.19,0,2.3,0,0,0,0,0,630.88,0,0,0,0,0
 36-46,0,0,0,0,16.16,0,21.76,0,0,0,22.05,0,0,0,0,0,154.83,0,0,12.44,0,0,2.1,2617.36,0,0.91,68.84,0,0,0,0,0,1.32,0.63,1080.22,0,0,0,0,2.92
 48-58,0,0,0,0,27.1,0,200.23,0.38,0,0.79,37.62,0,0,1.37,0,0,102.97,0,0.91,12.79,0,0.6,2.96,2745.87,0,0.89,129.43,0,3.05,0,0,0,0,0,1339.34,0,0,0.58,0,7.25
 60-70,0,0,0,0,2.83,0,350.38,0,0,0,21.66,5.79,1.47,0,0,0,62.28,2.74,0,15.54,3.8,0,0,2693.99,0,0,108.02,0,0.96,0,0,0,0,0,1176.69,0,0.63,9.01,0,8.42
 72-82,0,0,0,0,24.96,1.27,196.99,0,0,0,19,1.72,0.6,0,0,0,95.4,0,0,43.26,0,0,0,1649.3,0,1.7,106.2,0,12.7,0,0,4.56,0,0,352.74,0,0,0,0,6.53
 84-94,0,0,3.38,0,25.12,1.44,293.17,0,1.37,0.87,31.55,0.73,0,4.73,0,2.65,75.83,0,0,31.96,2.36,9.44,2.42,1383.83,1.08,2.79,122.58,0,5.86,0,0,0,0,0,312.82,3.74,0.88,6.29,2.08,0
 96-106,0,0,0,0,68.65,5.11,221.22,0,3.1,0,24.61,6.98,0,0,0.65,0,85.87,3.98,0,25.98,2.77,0,0,910.73,0.87,0.56,150.34,0,7.09,1.35,0,0,0,0,73.45,0,0,0,2,0
108-118,0,0,0,2.37,38.1,2.04,226.09,4.79,2.75,0,20.44,1.94,0,1.08,2.92,4.59,64.58,0,0,24.84,1.67,0,2.26,1285.52,0,5.47,170,0,5.29,0,0,0,0,0,178.27,1.87,0.57,0,0,0
120,0,0,0,0,68.85,1.35,256.14,0,6.41,0,27.55,12.69,0,0,0,0,38.4,0,0,17.75,0,0,0,1601.56,1.33,0,158.19,0,8.42,0,0,0,0,0,49.99,0,0,0,0,0
