stage,endoderm,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  7-9,5.04,0,0,0,0,0,0,0,18.68,0,0,4.53,0,0
 10-12,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.63,0,0,0,4.59,0
 36-46,0,0,0,0,0,0,0,0,0,1.31,0,0,0.84,0
 48-58,0,0,0,0,0,0,0.7,0.53,5.24,1.03,0,0,7.49,0.83
 60-70,0,0,5.52,0,0,0,0,0,6.68,0,0.63,0,0.83,0
 72-82,0,0,3.59,0,0,0,1.44,0,6.12,0,0,0,1.59,0
 84-94,0,0,1.82,0,0.67,0,0,0,0,0,0,0,3.45,0
 96-106,0,1.02,7.62,1.6,0,1.73,0,1.95,1.44,1.13,0,0,9.11,0
108-118,0,2.18,0.63,1.44,0,0,2.52,1.3,0,0,0,0,3.92,0
120,0,0,0,1.05,0,0,0,11.34,0,0,0,0,17.01,0
