stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.72,1666.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,241.22,4707.04,0,0,0,0,0,0,0,0,0,0,0,27.82,0,0,0,0,0,0,0,0,0,0,244.6,45.12,0,0,75.23,0,70.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,112.85,122.31,0,120.29,0,0,0,137.11,0,0,0,0,0,88.42,0,0,0,0,0,0,0,0,0,0,2748.24,103.32,0,0,1100.65,0,4.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,108.31,0,324.74,0,49.12,0,218.86,0,0,0,0,0,49.39,0,0,0,0,0,0,0,0,0,0,2659.46,56.66,0,0,1184.16,0,0,0,0,152.71,0,3.24,9.85,0,0,0,0,0
 14-21,0,0,0,8.53,143.69,27.57,0,29.01,0,2.58,0,31.14,9.76,0,4.14,0,2.42,0.87,0,0,53.08,0,0,57.53,710.59,25.95,2.16,9.81,17.59,0,16.74,1.81,92.64,4.93,18.67,68.73,247.29,0,0,17.14,0,0
 24-34,0,0,0,0,28.28,5.75,0,28.41,0,0,2.92,14.31,0,0,7.91,0,4.61,0,0.79,34.45,93.89,1.09,0,57.03,751.35,4.4,15.4,6.76,0,0,11.16,0,2.52,0,1.56,7.39,188.47,0,0,35.22,0,2.54
 36-46,0,0,0,0,2.94,0,0,23.74,1.18,1.86,0,13.12,0,0,0,0.99,0,0,0,0,37.72,0,0,13.78,286.58,0.81,5.66,1.68,0,0,9.62,0,0,0,0,0,65.87,0,0,6.4,0,0
 48-58,0,0,0.67,0,13.76,0,0,62.32,0,1.86,3.05,33.08,0,0,1.27,1.28,0,0,0,0,80.24,0.46,2.19,14.93,206.74,0.38,10.73,0,0,0.4,4.52,0,0,0,0,0,69.28,0,0,7.15,0,0
 60-70,0,0,0,0,0,0,0,35.65,0.62,0,0,23.83,0,0,0.66,3.27,0,0,2.2,0,73.02,0,0.82,1.32,199.7,0.58,9.6,0.83,0,0,0.63,0,0,0,0,0,32.96,0,0,1.32,1.25,0
 72-82,0,0,0,0,0.6,0,0,42.09,0,0.78,1.79,38.96,0,0,1.48,3.55,0,0,0,2.67,56.49,0,0.85,6.89,105.25,0,14.45,7.36,0,0,5.42,0,0,0,0,0,14.38,0,1.19,4.95,0.57,0
 84-94,0,0,0,0,4.28,0,0,22.77,0,0,2.42,21.37,0,0,1.31,0,0,0.75,0.81,0,40.78,0,0,2.21,84.59,0,4.06,3.51,0,0.6,6.45,0,0,0,0,0,17.32,0,0.59,8.94,3.05,0
 96-106,0,0,0,0,1.33,0,0.59,19.56,0,0.9,0,23.83,1.02,0,2.47,3.49,0.7,1.46,0,0,51.33,0,1.34,2.73,27.17,0,11.16,3.78,0,2.39,16.5,0,0,1.33,0,0,9.79,0,0,15.31,1.24,0
108-118,0,0,0,0,3.28,0,0,5.3,0,1.51,1.82,21.63,0,0,0,0.62,0,1.29,0,1.48,38.53,0,0,2.4,52.23,0,7.21,9.24,0,0,9.69,0,0,0,0,0,2.24,0.47,2.63,5.78,0,0
120,0,0,0,0,3.11,0,0,10.27,0,4.19,2.81,10.52,0,0,3.06,0,0,3.33,6.94,3.23,39.84,0,0,5.75,131.21,0,10,0,0,0,7.82,0,0,0,0,0,0,0,1.32,9.28,0,0
