stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,365.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.7,6541.34,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,36.44,0,0,0,0,0,354.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,137.61,254.54,18.72,0,0,2341.85,0,0,0,0,0,151.84,0,0,0,0,0,0,0,0,0,0,0,7681.87,9.93,0,0,145.73,0,21.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.07,74.88,0,5.53,569.67,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,1792.27,0,0,0,24.76,0,11.4,8.5,0,12.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.29,86.93,17.65,0,0,0,0,0,0,0,0,0.9,0,0,0,0,1.01,0,0,1.43,1830.57,0,0,0,0,0,0,0,1.93,0,0,0,241.59,0,0,0,0,0
 24-34,0,0,0,5.73,2.99,15.75,0,0,0,3.15,0,0,3.05,0,0,0,0,1.67,0,7.22,0,0,0.85,3614.32,0,2.31,2.54,0,0,1.58,0,0,0,0,4.48,600.77,0,0,0,0,0
 36-46,0,0,0,6.59,0,77.14,0,0,1.14,41.42,0,0,0,0.98,0,9.59,0.65,0,15.32,14.69,0,0,2.43,9732.38,8.07,4.77,0.58,0,0,11.89,0,0,0,0,0,1258.88,0,0,6.97,0,11.45
 48-58,0,0,0,28.45,3.57,260.75,0,2.18,0.76,105.61,0,0,1.12,1.11,0,8.08,1.18,0,6.42,47.44,2.21,1.1,7.9,9177.41,0.58,2.12,0.39,0,0,8.61,0,0,0.49,0,0,1719.11,0,0,2.22,0,0.9
 60-70,0,0,0,4.4,0,170.16,5.07,0.66,0.89,49.89,0,0,0,3.85,0,0,0.66,0,0,32.44,2.49,9.11,5.12,8165.15,1.31,1.42,0,0,0,4.04,0,0,0.73,2.66,0,1665.55,0,0,7.25,0,5.47
 72-82,0,0,0,10.36,6.09,206.61,0,0,0.68,91.53,1.48,0,0.79,1.25,0,0,0,0,3.79,41.59,0,4.2,5.53,3707.54,0.98,7.2,5.03,0,1.31,4.46,0,0,4.56,0,0,580.81,0,0,24.67,0.56,4.27
 84-94,0,0,0,21.55,2.16,206.44,0,0,4.28,89.98,0.91,0,0,0.59,0,0.67,0,0,0,37.88,0,1.06,2.86,2623.57,1.24,1.95,0,0,0,8.76,0,0,1.19,0,0,516.43,0,2.8,5.5,0,9.74
 96-106,0,0,0,9.69,13.32,157.5,1.55,1.34,0,67.04,0,0,0,0,2.47,0,0,15.39,0,29.51,2.09,2.58,1.43,1607.35,0,0,2.89,0,0,5.56,0,0,0,0,0,139.26,0,0,0,0,0
108-118,0,0,0,36.29,3.48,73.91,0.73,0.95,0.5,67.29,0,0,0,2.28,0,0,0,2.5,0,13.23,0,2.74,1.98,2030.53,0,1.91,0,0,0,0,0,0,0,0,0,112.33,0.58,1,4.23,0,0
120,0,0,0,4.96,0,105.66,0,0,9.22,83.14,0,0,0,7.03,0,7.23,0,0,0,26.28,0,0,0,3257.67,0,0,5.56,0,0,4.43,0,0,0,0,0,72.34,0,0,4.54,0,0
