stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6,0.99,0,0,0,5.43,0,0,0,0,2.08,1.03,18.33,5.62,0,0,0,5.27,1.98,2.53,10.8,0,0,0,0
 24-34,0.7,0,2,0.9,0.74,0.79,0,0,1.75,0.82,4.15,0,57.34,0,0.65,0,0,0,0,0,7.28,0,4.81,0,0
 36-46,0.68,0,0.92,0,0,1.37,0,0,0,0,0.83,0,26.27,0,0,0,0,0,0,0,15.26,0,0,0,0
 48-58,2.15,0,13.82,0,0,0.52,0,0,0,0.5,4.61,0.45,74.05,0.94,0,0,0,0,0,0,8.69,0,0,0,1.32
 60-70,0.8,0,20.76,0,0,1.77,0,0,0,0,3.71,0,25.82,0,0,0,0,0,0,0,3.8,0,0,0,0
 72-82,0.5,0.49,14.19,0,0,0.75,0,0.63,0,0,0,0,44.84,0.57,1.83,0,4.84,0,0,0,4.52,0.53,1.26,3.97,0
 84-94,0,0,2.74,0,0,6.78,1.64,0,0,0,4.42,0,31.04,0,0,0.83,6.02,0,0,0,12.06,0,5.08,0,0.76
 96-106,4.66,0,7.44,1.81,0,2.86,0,11.82,0,0,0,0,28.02,0,0,0,12.25,0,0,0,0.63,0,0,0,0.89
108-118,3.29,0,13.12,0.94,0,5.45,0,20.5,0,0,1.96,1.6,35.67,0,0,0,0,0,0,0,1.31,0,3.19,0,0
120,6.22,0,0,0,0,0,1.24,26.17,0,0,0,0,50.1,0,0,0,0,0,0,0,0,0,2.73,0,0
