stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,155.27,3245.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.61,1724.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,29.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.82,63.19,0,20.56,0,0,0,186.13,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,1144.32,26.27,0,0,398.06,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.87,0,20.45,0,6.13,0,78.05,0,0,0,0,0,30.64,0,0,0,0,0,0,0,0,0,0,618.24,15.48,0,0,225.27,0,5.07,5.33,0,11.08,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,0,8.59,1.2,0,52.92,0,0,0,6.88,0,1.44,0,0,0,0.87,12.29,14.83,6.69,0,0,2.77,100.48,3.28,2.95,0.81,4.33,0,0,0,10.48,0,0,12.8,22.32,0,0,6.63,0,4.29
 24-34,0,0,0.66,0,11.21,0.69,0,102.36,0,0,0,5.92,0.66,0,1.87,0.64,0.93,2.45,0,85.58,22.48,0,0,8.36,352.95,5.78,1.36,5.3,0,0,0,0,0,1.34,0.61,4.01,82.61,0,0,17.69,0,27.11
 36-46,0,0,0.98,0,2.84,0.9,0,72.39,0,0,0,6.36,0,0,0,10.29,0.6,2.3,0.93,26.32,20.26,0,0.92,5.8,295.4,1.27,3.15,0.91,0,0,1.07,0,0,0,0,0,67.86,0,0,2.37,0,25.83
 48-58,0,0,0,0,0.46,0,0,104.08,0,0,1.23,17.06,0,0,0,1.97,0,7.38,0,25.85,9.93,0.56,0,0.93,207.21,1.57,0,0.82,0,0.39,2.41,0,0,0,0,0,38.75,0,0,17.39,0,26.34
 60-70,0,0,0.89,0,0,0,0,173.24,0,0,0.72,17.3,0,0,0,8.95,0,6.64,0,42.54,23.22,0,0,1.44,315.19,0.63,2.54,0,0,0.71,2.68,0,0,0,0,0,20.5,0,0.83,6.46,0,14.06
 72-82,0,0,0.56,0,6.08,2.27,0,154.34,7.1,0,0.8,26.91,1.44,0,0.58,10.61,4.03,11.54,0,6.03,20.95,1.93,0,1.82,210.76,0.81,1.7,0,0,0,0,0,0,0.67,0,0,19.65,0,0,15.82,1.25,22.97
 84-94,0,0,0,0,0.72,3.1,0,152.59,0,2.36,0,23.76,5.8,0,0,18.03,2.96,9.73,0,35.96,22.22,0,0,2.41,113.69,0,3.3,1.35,0,0,0.58,0,0,1.51,0,0,14.98,1.54,0,8.14,0.67,31.24
 96-106,0,0,0,0,6.23,5.75,0,148.24,0,0.61,0.74,35.33,10.76,0,0.73,13.21,0,16.06,0,8.9,45.94,5.92,0,0.88,158.03,0,4.34,3.88,0,0,13.72,0,0,0,0,0,13.39,0,0,16.14,0,29.03
108-118,0,0,0.76,0,13.5,0,0.5,134.93,0,1.62,0,34.42,15.11,0,0,27.23,2.02,55.07,2.83,28.29,33.14,0,0,1.26,190.23,1,5.13,4.94,0,3.71,7.92,0,0,0.47,0,0,8.95,0,2.28,14.12,0,32.61
120,0,0,0,0,15.85,1.29,0,74.62,0,4.86,0,34.18,19.76,0,0,27.93,0,19.4,0,16.12,129.08,1.49,17.45,8,297.36,2.89,0,3.63,0,0,12.6,0,0,3.85,0,0,38.56,0,7.39,45.41,0,10.82
