stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.43,50.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,10.43,0,0,0,0,0
 10-12,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,13.84,0,0,14.71,0,4.19,0,0,0
 14-21,0,0,1.81,0,1.27,0,0,0,0,0,0,0,0,0.88,4.86,0,0,1.32,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.69,0,0.69,1.1,12.12,0.97,0,0,0,0,0,2.42,0
 36-46,0,0,0,0,2.38,0,0,0,0,0,0,0,1.7,0,25,0,0,0,0,0,0.58,1.83,0
 48-58,0,0,0,0,0,0.97,0.7,1.27,0,0,0,0,0.57,0,1.35,0,0,0,0,0,0,1.62,0
 60-70,0,0,0,0,0.82,0,0,0,0,0.9,0.57,0,3.55,0.78,12.32,0,0,0,3.86,0,0,0,6.29
 72-82,0,0,0.76,0,5.02,0,1.3,0,0.59,0,0,0.49,0,4.82,2,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.15,0,0,5.49,0,0,2.94,3.93,0,0,4.39,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.88,0,1.64,0,0,0,0,1.57,2.82,0,0,20.58,0,1.09,0,1.31,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0.96,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0
