stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,251.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.37,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.06,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,0,0,0,5.74,0,0,0,0,0,30.97,0,0,0,0,0,0,0,0,0,0,0,59.04,0,0,0,31.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0,52.41,0,0,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,4.77,349.84,3.79,0,0,0,1.18,0,0,0,0,0,0,0,89.76,0,6.26,0,0,1.54,47.4,4.87,0,0.99,2,0,15,6.94,0,0,5.19,17.01,0,0,0,0,0
 24-34,0,0,0,0.65,4.28,1892.3,3.39,0,0.85,0,11.5,0,3.09,0,2.18,3.1,0,0,39.56,0,17.77,0,0,17.37,195.78,0.63,1.43,6.35,0,0,13.95,0,1.04,3.34,0.66,28.56,0,0,0.96,0,1.18
 36-46,0,0,0,0,1.27,1794.96,38.03,0,33.53,0,14.48,0,0,1.26,0,3.08,0,0,33.7,0,5.08,0.58,0,4.13,131.95,3.88,3.68,15.62,0,0,12.27,0,0,0,0,33.94,0,0,1.6,0,0
 48-58,0,0,0,0,1.6,2706,65.08,2.16,0,0,14.16,0,0,0,0.52,0.37,0,1.27,0.99,0.71,17.86,0.57,0,6.51,196.08,0,2.27,8.22,0,0,6.37,0,0.53,0.73,0,25.34,0,0,5.02,0,2.92
 60-70,0,0,0,0,1.56,3098.33,128.9,0,3.47,0,28.28,0,0,0,6.4,4.44,8.82,0.77,0.72,9.95,33.97,0,0,0.56,223.1,1.13,2.07,12.31,0,0,9.13,0,11.67,0,0,34.63,0,1.11,1.22,0,6.1
 72-82,0,0,0,0,2.6,2734.7,118.45,4.7,0,2.06,25.84,0.66,0,0.66,5.65,6.9,0,4.05,0,0,22.17,0.73,0,5.44,162.81,0,0,31.15,0,0,6.62,0,0,0,0,28.72,0,0,11.94,0,0
 84-94,0,0,1.29,0,7.73,3157.8,82.54,5.39,1.15,0,14.19,0.68,0,0,8.61,26.75,2.45,1.44,0,0,25.02,1.16,0,2.88,75.98,0,3.39,33.66,0,0,11.03,0,4.12,0,0,13.59,3.46,0,8.55,9.01,19.54
 96-106,0,0,1.97,0,1.49,3615.87,56.67,3.09,1.6,0,17.02,1.91,0,0,2.76,15.42,1.2,6.4,3.27,1.3,16.62,0,0,2.54,76.54,0,1.34,53.34,0,0,9.51,0,1.18,0,0,0.86,0.83,1.69,10.57,1.28,2.56
108-118,0,0,0.52,0,7.34,2246.79,57.23,8.09,1.15,0,22.25,2.19,0,1.72,4.94,31.42,7.79,3.95,4.65,0,20.72,1.22,2.24,0.47,98.68,0.69,0.61,29.06,0,1.05,12.58,0,0,0,0,2.56,0,0,15.05,0,0
120,0,0,0,0,3.52,1984.13,25.03,8.83,2.73,0,10.32,2.59,0,0,1.34,29.51,1.88,8.96,2.32,0,18.81,1.15,0,1.93,83.68,0,4.59,41.1,0,0,8.44,0,0,0,0,0,0,0,13.29,0,0
