stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,38.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,119.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.25,160.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.27,0,0,0,23.54,0,0,0,22.84,0,0,0,0,0,0,0
 14-21,0,0,1.28,63.06,5.9,0,69.43,0,0,0,1.91,0,1.97,17.81,0,2.54,0,0,0,1.08,296.03,0,0,125.58,739.19,2.85,0,38.02,0,0,0,1.21,11.81,0,154.98,0,0,0,0,0.91
 24-34,0,0,0,18.4,0,0,143.56,0,1.37,1.71,20.24,0,0,29.62,0,8.9,0,4.53,0.63,0,985.93,1.01,0.82,578.83,420.73,1.59,0,51.14,0,3.21,1.65,0,6.06,0,217.93,0,0,11.75,0,3.77
 36-46,0,0,0,2.91,0,0,639.48,0,0,13.26,42.24,0,0,19.34,0,1.78,0,0.65,1.45,0,1141.39,0,8.84,873.78,318.81,0,0.6,24.5,0,0,0.6,16.07,3.7,0,288.05,0,2.6,8.6,0,14.27
 48-58,0,0,0,2.44,1.56,0,720.74,0,3.88,33.44,103.91,0,0,15.39,0,0,0,1.28,3.24,0,1612,2.05,71.94,601.93,306.86,5.66,6.1,12.51,0,2.81,4.98,0,1.5,0,265.33,0,2.42,1.35,0.9,16.03
 60-70,0,0,0,5.22,0,0,495.93,0,0,19.19,241.1,0,2.2,10.04,0,3.07,0,3.84,2.73,0,2280.5,0,105.64,320.63,107.75,2.21,0.92,15.38,0,15.44,0,0,0,0,112.4,0,15.55,1.14,22.25,8.33
 72-82,0,0,0,3.89,1.09,0,218.54,2.49,0,47.99,214.9,0.84,0,29.16,2.13,3.46,0,3.14,9.65,6.03,2464.76,0,266.72,333.09,96.21,2.29,2.93,18.69,0,72.16,3.53,0,0,0.54,34.62,0,54.73,14.62,81.43,39.15
 84-94,5.55,0,0,17.61,0.6,0,253.09,0,0,33.12,201.46,0.57,0.6,37.58,1.62,0.71,3.61,4.61,0.89,0,2048.94,0,243.86,267.33,153.18,0,0.57,20.12,0,18.35,3.75,0,0,1.02,44.64,0,68.44,1.16,76.48,0.74
 96-106,0,0,0,5.52,9.51,0.94,168.84,1.33,3.16,34.91,176.92,0,0,13.73,3.01,0.86,0,7.02,0,0,1315.8,3.12,180.95,155.9,97.68,0.81,0,10.69,0,70.01,2.05,0,3.78,0,9.12,1.68,27.86,3.89,77.77,7.1
108-118,0,0,0,1.36,0.9,0,152.46,0,1.39,25.93,153.55,0,0,26.79,2.17,0,1.06,0,5.14,0,1219.37,1.15,160.89,132.24,40.01,0.43,3,7.97,0,128.82,0.54,0,0,0,6.27,0,29.6,0,51.15,19.73
120,0,0,0,14.04,1.9,0,135.1,0,1.11,6.06,89.94,0,0,20.62,7.03,0,0,1.12,0,0,942.81,0,135.16,73.05,54.68,0,0,16.19,0,203.1,1.22,0,0,0,0,0,23.23,0,114.17,9.15
