stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,2.3,0,0,0,0,2.3,0.82,0,0,0,0,0,0,1.79,0,0,0,37.69,6.84,0,0,1.51,8.67,0,0,0,16.15,0,0,0
 24-34,0,9.91,3.46,92.59,0,0,0.7,0,2.85,0.62,0,1.56,2.14,0,56.74,0,0,15.96,564.45,0,1.67,4.26,6.51,0,0,0,1.81,138.44,0,17.61,0
 36-46,1.13,31.42,7.99,214.73,0,0.62,2.88,0,0.75,0,0,0,0,3.49,49.53,0,0,8.91,463.38,0.82,5.81,7.53,14.36,0,0,0,0,37.16,0,3.88,0
 48-58,0,27.55,10.82,217.5,0.58,0,19.17,4.14,1.83,0,3.61,2.03,2.61,2.39,71.34,1.11,6.65,1.58,435.94,3.15,0,3.22,7.53,0,0,0,0,31.06,0,7.12,0
 60-70,0,36.33,2.2,249.13,0,0,18.07,1.73,0,0,0,26.14,5.4,2.11,112.63,2.85,14.39,11.31,323.24,0,0,1.79,4.19,0,1.87,0.62,0,9.67,0,24.38,0
 72-82,3.31,8.49,0,71.53,0,0,4.05,4.3,0,0,0,3.65,1.22,0,42.39,0,0,1.6,73.3,0,1.29,0,0.5,0,0,0,0,0.61,0,0.72,0
 84-94,0,0.62,0,22.99,0,0,2.52,1.07,0,0.87,0,0,0,0.66,26.92,0,2.45,5.27,31.22,0,0,0.72,3.72,0,0,0,0,1.76,1.17,5.96,0
 96-106,0,0,0,3.7,0,0,0,0.64,0,0,0,0,0,0,5.58,0,0,0,7.02,0,0,0.78,0,0,0,0,0,0,0,0.71,0
108-118,1.06,1.72,0.82,32.71,0,0,0.43,0,0,2.44,0,0,3.71,0,13.26,0,0,0,31.9,0,0,1.27,0.44,0,0,0,0,0,0.41,8.1,0
120,0,4.96,8.2,130.11,0,0,20.32,0,0,6.92,0,0,0,0,10.51,0,0,2.04,145.31,0,0,0,6.65,0,0,0,0,0,0,15.63,4.22
