stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,14.25,0,0,0,23.54,0,0,0,0,0,26.73,0,0,0,0,0,0,0,0,0,0,82.29,0,0,0,85.43,0,0,0,9.36,0,0,0,0,0,0,0,0
 14-21,0,0,3.71,0,12.16,1.97,0,0,0,0,0,2.31,0,5.81,0,0,0,0,0,0,0.86,0,0,3.38,264.51,0,0,0,0,0,5.09,2,0,19.11,12.26,30.93,0,0,0,0,0
 24-34,0,0,1.26,0,3.59,0,0,4.64,0.9,5.09,0,0.73,0,0,1.22,0,0,0,0,0,8.97,0,2.43,2.97,464.87,0,3.78,4.49,0,0,0.63,0,5.54,7.29,5.11,132.37,0,0,1.08,0,0
 36-46,0,0,0,0,0,0,0,12.85,0,4.67,0,3.61,0,0,9.51,0,0,0,0,5.97,7.64,0,0,9.98,836.59,0,0,0,0,7.92,8.17,0,11.19,3.6,2.35,180.29,0,0,6.42,0,0
 48-58,0.78,0,0,0,1.76,0,0,51.02,1.23,0.37,1.28,13.65,0,0,7.05,0,0,0,0.39,8.6,11.58,0,0,1.35,849.46,0.72,1.56,11.43,0,0,3.03,0,4.78,11.66,0,112.92,0,0,0,0,0
 60-70,0,0,0,0,0.68,0,0,185.69,0.68,3.22,0,10.26,0,0,0,0,0,0,0,0,22.73,0,0,4.65,1028.7,0.64,0,9.31,0,0,3.12,0,10.74,2.66,0,58.2,0,0.7,0.9,1.46,0
 72-82,0,0,1.8,0,5.4,3.1,0.95,244.33,1.11,0,0.59,24.42,0,0,0,0,0.7,9.74,0,0,24.96,0.78,2.05,0.97,814.81,0.56,3.8,11.39,0,0,6.69,0,5.23,1.06,0,46.89,0,0,0.86,1.14,0
 84-94,0,0,0,0,3.86,1.48,1.52,184.12,0,0,0,18.01,0.73,0,0,0,0,0,0,0,22.46,0,0,0.74,608.07,1.68,0,23.37,0,0,0,0,11.31,8.57,0,17.36,0,0.57,5.12,0,0
 96-106,0,0,1.17,0,3.05,0,2.51,204.92,0.64,0,0,19.73,0,0,0,1.27,0,0,0,0,26.25,0,0.88,7.71,461.14,0,0,16.71,0,0,4.77,0,1.17,1.88,0,17.12,1.59,0.69,3.63,0,1.22
108-118,0,0,0,0,7.46,4.95,23.38,173.49,0,2.31,0,11.08,2.02,0,0,0,0,0,0,2.34,18.45,1.71,0,1.89,540.89,0.58,1.21,13.9,0,0,3.33,0,7.37,6.13,0,13.03,0,0,5.32,0,0
120,0,0,9.35,0,5.1,0,1.61,206.99,0,2.34,0,12.09,1.33,0,0,0,0,0,0,0,13.38,0,0,3.81,1064.92,0,0,10.75,0,0,4.24,0,1.74,7.11,0,18.59,0,0,2.48,0,0
